dia,cod_bdi,cod_neg,tp_merc,nom_res,especi,prazo_t,moeda,pre_abe,pre_max,pre_min,pre_med,pre_ult,pre_ofc,pre_ofv,tot_neg,qua_tot,vol_tot,pre_exe,ind_opc,dat_ven,fat_cot,pto_exe,cod_isi,dis_mes
2010-01-04,02,BBAS3,10,BRASIL,ON  EJ  NM,nan,R$,29.8,30.0,29.7,29.9,29.9,29.9,29.95,5266,3660200,109461841.0,0.0,0,99991231,1,0.0,BRBBASACNOR3,209
2010-01-05,02,BBAS3,10,BRASIL,ON  EJ  NM,nan,R$,30.1,30.1,29.19,29.73,29.6,29.59,29.6,6621,3110300,92482887.0,0.0,0,99991231,1,0.0,BRBBASACNOR3,209
2010-01-06,02,BBAS3,10,BRASIL,ON  EJ  NM,nan,R$,29.49,30.0,29.42,29.76,29.64,29.63,29.64,6674,2749300,81824327.0,0.0,0,99991231,1,0.0,BRBBASACNOR3,209
2010-01-07,02,BBAS3,10,BRASIL,ON      NM,nan,R$,29.44,29.71,29.41,29.59,29.65,29.64,29.65,4250,1556900,46075184.0,0.0,0,99991231,1,0.0,BRBBASACNOR3,209
2010-01-08,02,BBAS3,10,BRASIL,ON      NM,nan,R$,29.7,29.82,29.47,29.69,29.82,29.65,29.82,5087,2069300,61444729.0,0.0,0,99991231,1,0.0,BRBBASACNOR3,209
2010-01-11,02,BBAS3,10,BRASIL,ON      NM,nan,R$,29.98,30.07,29.62,29.88,30.05,29.97,30.05,4791,2419800,72325047.0,0.0,0,99991231,1,0.0,BRBBASACNOR3,209
2010-01-12,02,BBAS3,10,BRASIL,ON      NM,nan,R$,29.85,30.45,29.72,30.02,29.8,29.8,29.85,4377,2696100,80945270.0,0.0,0,99991231,1,0.0,BRBBASACNOR3,209
2010-01-13,02,BBAS3,10,BRASIL,ON      NM,nan,R$,30.0,30.28,29.5,29.9,30.18,30.15,30.18,4732,2496200,74653282.0,0.0,0,99991231,1,0.0,BRBBASACNOR3,209
2010-01-14,02,BBAS3,10,BRASIL,ON      NM,nan,R$,29.94,30.09,29.55,29.8,29.75,29.75,29.78,4082,1707500,50885757.0,0.0,0,99991231,1,0.0,BRBBASACNOR3,209
2010-01-15,02,BBAS3,10,BRASIL,ON      NM,nan,R$,29.65,29.95,29.09,29.5,29.25,29.15,29.25,2945,2213700,65310406.0,0.0,0,99991231,1,0.0,BRBBASACNOR3,209
2010-01-18,02,BBAS3,10,BRASIL,ON      NM,nan,R$,29.5,29.54,29.26,29.42,29.26,29.26,29.31,2002,898900,26446813.0,0.0,0,99991231,1,0.0,BRBBASACNOR3,209
2010-01-19,02,BBAS3,10,BRASIL,ON      NM,nan,R$,29.13,29.86,29.03,29.6,29.75,29.7,29.75,4253,1647800,48776750.0,0.0,0,99991231,1,0.0,BRBBASACNOR3,209
2010-01-20,02,BBAS3,10,BRASIL,ON      NM,nan,R$,29.51,29.62,27.84,28.75,28.86,28.77,28.86,6635,3585200,103096117.0,0.0,0,99991231,1,0.0,BRBBASACNOR3,209
2010-01-21,02,BBAS3,10,BRASIL,ON      NM,nan,R$,29.0,29.03,27.86,28.19,28.39,28.36,28.39,7840,3282700,92562643.0,0.0,0,99991231,1,0.0,BRBBASACNOR3,209
2010-01-22,02,BBAS3,10,BRASIL,ON      NM,nan,R$,27.94,28.7,27.94,28.29,28.54,28.3,28.54,4985,2520300,71300349.0,0.0,0,99991231,1,0.0,BRBBASACNOR3,209
2010-01-26,02,BBAS3,10,BRASIL,ON      NM,nan,R$,28.0,28.2,27.51,27.76,27.77,27.77,27.8,8146,3808600,105758336.0,0.0,0,99991231,1,0.0,BRBBASACNOR3,209
2010-01-27,02,BBAS3,10,BRASIL,ON      NM,nan,R$,27.71,28.0,27.2,27.45,27.55,27.44,27.55,6178,3054000,83841023.0,0.0,0,99991231,1,0.0,BRBBASACNOR3,209
2010-01-28,02,BBAS3,10,BRASIL,ON      NM,nan,R$,27.9,27.99,27.13,27.44,27.6,27.6,27.61,5286,4961500,136188535.0,0.0,0,99991231,1,0.0,BRBBASACNOR3,209
2010-01-29,02,BBAS3,10,BRASIL,ON      NM,nan,R$,27.71,28.46,27.67,28.04,28.1,27.9,28.1,4926,3537000,99211579.0,0.0,0,99991231,1,0.0,BRBBASACNOR3,209
2010-02-01,02,BBAS3,10,BRASIL,ON      NM,nan,R$,28.36,30.02,28.35,29.49,30.0,30.0,30.01,13377,7900900,233071965.0,0.0,0,99991231,1,0.0,BRBBASACNOR3,209
2010-02-02,02,BBAS3,10,BRASIL,ON      NM,nan,R$,30.17,30.75,29.83,30.45,30.6,30.55,30.63,12396,5296800,161325563.0,0.0,0,99991231,1,0.0,BRBBASACNOR3,209
2010-02-03,02,BBAS3,10,BRASIL,ON      NM,nan,R$,30.22,30.5,29.66,29.96,29.85,29.85,29.89,4591,2663600,79816787.0,0.0,0,99991231,1,0.0,BRBBASACNOR3,209
2010-02-04,02,BBAS3,10,BRASIL,ON      NM,nan,R$,29.6,29.64,28.6,29.11,29.3,29.3,29.34,4871,2942100,85642039.0,0.0,0,99991231,1,0.0,BRBBASACNOR3,209
2010-02-05,02,BBAS3,10,BRASIL,ON      NM,nan,R$,28.86,29.2,27.3,28.1,27.9,27.9,27.92,7102,6525300,183411523.0,0.0,0,99991231,1,0.0,BRBBASACNOR3,209
2010-02-08,02,BBAS3,10,BRASIL,ON      NM,nan,R$,27.71,28.42,27.71,28.09,28.25,28.22,28.25,5959,3453600,97012508.0,0.0,0,99991231,1,0.0,BRBBASACNOR3,209
2010-02-09,02,BBAS3,10,BRASIL,ON      NM,nan,R$,28.6,30.6,28.56,29.71,29.66,29.66,29.75,7218,5187000,154109840.0,0.0,0,99991231,1,0.0,BRBBASACNOR3,209
2010-02-10,02,BBAS3,10,BRASIL,ON      NM,nan,R$,30.05,30.41,29.5,30.0,30.4,30.34,30.4,7604,3358000,100763660.0,0.0,0,99991231,1,0.0,BRBBASACNOR3,209
2010-02-11,02,BBAS3,10,BRASIL,ON      NM,nan,R$,30.16,31.16,30.0,30.72,31.02,31.02,31.05,5777,3846000,118165045.0,0.0,0,99991231,1,0.0,BRBBASACNOR3,209
2010-02-12,02,BBAS3,10,BRASIL,ON      NM,nan,R$,30.69,30.77,29.95,30.39,30.5,30.4,30.5,5845,2953800,89767554.0,0.0,0,99991231,1,0.0,BRBBASACNOR3,209
2010-02-17,02,BBAS3,10,BRASIL,ON      NM,nan,R$,30.9,31.13,30.38,30.74,30.38,30.38,30.5,5180,2463900,75749118.0,0.0,0,99991231,1,0.0,BRBBASACNOR3,209
2010-02-18,02,BBAS3,10,BRASIL,ON      NM,nan,R$,30.43,30.72,30.27,30.56,30.65,30.55,30.65,3413,2896000,88527573.0,0.0,0,99991231,1,0.0,BRBBASACNOR3,209
2010-02-19,02,BBAS3,10,BRASIL,ON      NM,nan,R$,30.39,30.98,30.15,30.66,30.71,30.71,30.8,6042,5057500,155069932.0,0.0,0,99991231,1,0.0,BRBBASACNOR3,209
2010-02-22,02,BBAS3,10,BRASIL,ON      NM,nan,R$,30.85,30.94,30.5,30.72,30.6,30.6,30.7,3181,3436600,105583684.0,0.0,0,99991231,1,0.0,BRBBASACNOR3,209
2010-02-23,02,BBAS3,10,BRASIL,ON      NM,nan,R$,30.31,30.55,30.02,30.24,30.18,30.15,30.2,6254,4052800,122571697.0,0.0,0,99991231,1,0.0,BRBBASACNOR3,209
2010-02-24,02,BBAS3,10,BRASIL,ON      NM,nan,R$,30.11,30.45,29.95,30.27,30.45,30.4,30.45,4211,4061100,122951880.0,0.0,0,99991231,1,0.0,BRBBASACNOR3,209
2010-02-25,02,BBAS3,10,BRASIL,ON      NM,nan,R$,29.85,30.16,29.62,29.84,30.0,29.95,30.0,6295,5105400,152355175.0,0.0,0,99991231,1,0.0,BRBBASACNOR3,209
2010-02-26,02,BBAS3,10,BRASIL,ON  EDR NM,nan,R$,29.79,29.99,29.26,29.61,29.77,29.71,29.77,5641,3047400,90259748.0,0.0,0,99991231,1,0.0,BRBBASACNOR3,210
2010-03-01,02,BBAS3,10,BRASIL,ON  ED  NM,nan,R$,29.89,30.07,29.6,29.93,30.0,29.82,30.0,6277,3073500,92002052.0,0.0,0,99991231,1,0.0,BRBBASACNOR3,210
2010-03-02,02,BBAS3,10,BRASIL,ON  ED  NM,nan,R$,30.04,30.19,29.63,29.93,29.63,29.63,29.66,9449,3926600,117506415.0,0.0,0,99991231,1,0.0,BRBBASACNOR3,210
2010-03-03,02,BBAS3,10,BRASIL,ON  ED  NM,nan,R$,29.71,29.95,29.25,29.75,29.42,29.4,29.42,4867,3650800,108614732.0,0.0,0,99991231,1,0.0,BRBBASACNOR3,210
