dia,cod_bdi,cod_neg,tp_merc,nom_res,especi,prazo_t,moeda,pre_abe,pre_max,pre_min,pre_med,pre_ult,pre_ofc,pre_ofv,tot_neg,qua_tot,vol_tot,pre_exe,ind_opc,dat_ven,fat_cot,pto_exe,cod_isi,dis_mes
2010-01-04,02,BTOW3,10,B2W VAREJO,ON      NM,nan,R$,47.5,47.52,46.51,46.93,46.51,46.51,46.7,1328,612100,28723568.0,0.0,0,99991231,1,0.0,BRBTOWACNOR8,102
2010-01-05,02,BTOW3,10,B2W VAREJO,ON      NM,nan,R$,47.0,47.1,45.03,45.58,45.4,45.39,45.4,2019,848200,38667311.0,0.0,0,99991231,1,0.0,BRBTOWACNOR8,102
2010-01-06,02,BTOW3,10,B2W VAREJO,ON      NM,nan,R$,45.49,45.92,44.72,45.52,45.9,45.9,45.92,2109,574600,26159156.0,0.0,0,99991231,1,0.0,BRBTOWACNOR8,102
2010-01-07,02,BTOW3,10,B2W VAREJO,ON      NM,nan,R$,45.5,46.97,44.81,46.36,46.42,46.39,46.42,2723,801000,37136986.0,0.0,0,99991231,1,0.0,BRBTOWACNOR8,102
2010-01-08,02,BTOW3,10,B2W VAREJO,ON      NM,nan,R$,46.8,46.8,45.31,45.63,45.31,45.31,45.39,1507,469000,21400375.0,0.0,0,99991231,1,0.0,BRBTOWACNOR8,102
2010-01-11,02,BTOW3,10,B2W VAREJO,ON      NM,nan,R$,45.88,45.88,44.82,45.11,44.9,44.9,44.99,1111,338000,15247421.0,0.0,0,99991231,1,0.0,BRBTOWACNOR8,102
2010-01-12,02,BTOW3,10,B2W VAREJO,ON      NM,nan,R$,44.55,44.7,43.6,44.18,44.37,44.37,44.4,1819,628200,27756736.0,0.0,0,99991231,1,0.0,BRBTOWACNOR8,102
2010-01-13,02,BTOW3,10,B2W VAREJO,ON      NM,nan,R$,44.5,45.44,44.05,44.69,44.8,44.76,44.8,1712,713800,31901297.0,0.0,0,99991231,1,0.0,BRBTOWACNOR8,102
2010-01-14,02,BTOW3,10,B2W VAREJO,ON      NM,nan,R$,44.78,45.28,44.15,44.73,44.73,44.45,44.73,1944,734200,32847722.0,0.0,0,99991231,1,0.0,BRBTOWACNOR8,102
2010-01-15,02,BTOW3,10,B2W VAREJO,ON      NM,nan,R$,44.15,44.63,43.5,44.14,43.5,43.46,43.5,1490,859100,37913998.0,0.0,0,99991231,1,0.0,BRBTOWACNOR8,102
2010-01-18,02,BTOW3,10,B2W VAREJO,ON      NM,nan,R$,43.7,44.15,42.59,43.1,42.59,42.59,42.6,1478,537000,23141302.0,0.0,0,99991231,1,0.0,BRBTOWACNOR8,102
2010-01-19,02,BTOW3,10,B2W VAREJO,ON      NM,nan,R$,42.59,42.6,41.52,41.92,41.65,41.6,41.65,2885,1129700,47360007.0,0.0,0,99991231,1,0.0,BRBTOWACNOR8,102
2010-01-20,02,BTOW3,10,B2W VAREJO,ON      NM,nan,R$,41.68,41.68,38.98,39.66,39.08,39.08,39.21,4204,2616400,103772182.0,0.0,0,99991231,1,0.0,BRBTOWACNOR8,102
2010-01-21,02,BTOW3,10,B2W VAREJO,ON      NM,nan,R$,39.25,40.4,38.6,39.62,40.0,39.99,40.0,3257,1544500,61209892.0,0.0,0,99991231,1,0.0,BRBTOWACNOR8,102
2010-01-22,02,BTOW3,10,B2W VAREJO,ON      NM,nan,R$,39.91,41.3,39.77,40.86,41.07,40.92,41.07,2896,1294500,52896510.0,0.0,0,99991231,1,0.0,BRBTOWACNOR8,102
2010-01-26,02,BTOW3,10,B2W VAREJO,ON      NM,nan,R$,40.27,40.4,38.11,39.46,39.57,39.57,39.64,2441,710200,28031166.0,0.0,0,99991231,1,0.0,BRBTOWACNOR8,102
2010-01-27,02,BTOW3,10,B2W VAREJO,ON      NM,nan,R$,39.7,39.8,38.39,38.75,38.72,38.72,38.76,1752,623400,24161931.0,0.0,0,99991231,1,0.0,BRBTOWACNOR8,102
2010-01-28,02,BTOW3,10,B2W VAREJO,ON      NM,nan,R$,39.11,39.4,37.28,37.84,37.7,37.31,37.7,1820,860200,32548281.0,0.0,0,99991231,1,0.0,BRBTOWACNOR8,102
2010-01-29,02,BTOW3,10,B2W VAREJO,ON      NM,nan,R$,37.99,38.55,37.58,38.06,38.0,37.82,38.0,1480,689200,26234654.0,0.0,0,99991231,1,0.0,BRBTOWACNOR8,102
2010-02-01,02,BTOW3,10,B2W VAREJO,ON      NM,nan,R$,38.47,39.4,37.94,38.63,39.4,39.18,39.4,1072,435400,16829889.0,0.0,0,99991231,1,0.0,BRBTOWACNOR8,102
2010-02-02,02,BTOW3,10,B2W VAREJO,ON      NM,nan,R$,40.25,40.27,39.08,39.71,39.7,39.52,39.7,1183,517700,20561270.0,0.0,0,99991231,1,0.0,BRBTOWACNOR8,102
2010-02-03,02,BTOW3,10,B2W VAREJO,ON      NM,nan,R$,39.83,39.9,38.84,39.34,39.62,39.62,39.7,1321,652000,25653526.0,0.0,0,99991231,1,0.0,BRBTOWACNOR8,102
