dia,cod_bdi,cod_neg,tp_merc,nom_res,especi,prazo_t,moeda,pre_abe,pre_max,pre_min,pre_med,pre_ult,pre_ofc,pre_ofv,tot_neg,qua_tot,vol_tot,pre_exe,ind_opc,dat_ven,fat_cot,pto_exe,cod_isi,dis_mes
2010-01-04,02,CSNA3,10,SID NACIONAL,ON  EJ,nan,R$,56.01,56.49,55.96,56.25,56.21,56.21,56.26,2481,1620100,91133469.0,0.0,0,99991231,1,0.0,BRCSNAACNOR6,236
2010-01-05,02,CSNA3,10,SID NACIONAL,ON,nan,R$,56.1,57.47,56.1,57.01,56.73,56.73,56.8,5823,2715900,154828184.0,0.0,0,99991231,1,0.0,BRCSNAACNOR6,236
2010-01-06,02,CSNA3,10,SID NACIONAL,ON,nan,R$,56.6,57.24,56.2,56.83,56.8,56.8,56.84,4562,2488100,141416485.0,0.0,0,99991231,1,0.0,BRCSNAACNOR6,236
2010-01-07,02,CSNA3,10,SID NACIONAL,ON,nan,R$,56.7,56.82,55.91,56.24,56.2,56.19,56.2,4271,2630700,147969463.0,0.0,0,99991231,1,0.0,BRCSNAACNOR6,236
2010-01-08,02,CSNA3,10,SID NACIONAL,ON,nan,R$,56.9,58.05,56.3,57.31,57.47,57.47,57.6,5465,4050500,232158580.0,0.0,0,99991231,1,0.0,BRCSNAACNOR6,236
2010-01-11,02,CSNA3,10,SID NACIONAL,ON,nan,R$,58.31,58.76,58.23,58.44,58.6,58.6,58.68,3717,2287800,133719598.0,0.0,0,99991231,1,0.0,BRCSNAACNOR6,236
2010-01-12,02,CSNA3,10,SID NACIONAL,ON,nan,R$,58.0,58.01,56.9,57.4,57.51,57.51,57.63,6404,2146900,123242252.0,0.0,0,99991231,1,0.0,BRCSNAACNOR6,236
2010-01-13,02,CSNA3,10,SID NACIONAL,ON,nan,R$,58.05,59.08,57.86,58.5,58.5,58.45,58.6,4525,3070500,179641486.0,0.0,0,99991231,1,0.0,BRCSNAACNOR6,236
2010-01-14,02,CSNA3,10,SID NACIONAL,ON,nan,R$,58.8,59.39,58.64,59.02,59.0,58.89,59.0,3256,1950700,115128155.0,0.0,0,99991231,1,0.0,BRCSNAACNOR6,236
2010-01-15,02,CSNA3,10,SID NACIONAL,ON,nan,R$,57.8,58.89,57.25,57.87,57.76,57.69,57.76,2649,1849800,107062227.0,0.0,0,99991231,1,0.0,BRCSNAACNOR6,236
2010-01-18,02,CSNA3,10,SID NACIONAL,ON,nan,R$,57.55,58.35,57.4,57.92,58.0,57.85,58.0,1342,911400,52794715.0,0.0,0,99991231,1,0.0,BRCSNAACNOR6,236
2010-01-19,02,CSNA3,10,SID NACIONAL,ON,nan,R$,57.3,58.8,57.3,58.32,58.62,58.45,58.62,1950,1087200,63420460.0,0.0,0,99991231,1,0.0,BRCSNAACNOR6,236
2010-01-20,02,CSNA3,10,SID NACIONAL,ON,nan,R$,57.8,58.1,56.15,57.0,57.2,57.2,57.21,3603,2031500,115814216.0,0.0,0,99991231,1,0.0,BRCSNAACNOR6,236
2010-01-21,02,CSNA3,10,SID NACIONAL,ON,nan,R$,57.26,57.49,54.51,55.43,54.68,54.67,54.68,4819,2783000,154242303.0,0.0,0,99991231,1,0.0,BRCSNAACNOR6,236
2010-01-22,02,CSNA3,10,SID NACIONAL,ON,nan,R$,54.24,55.1,53.36,54.12,53.6,53.57,53.6,5567,3559600,192571754.0,0.0,0,99991231,1,0.0,BRCSNAACNOR6,236
2010-01-26,02,CSNA3,10,SID NACIONAL,ON,nan,R$,52.81,54.2,52.01,53.15,53.85,53.58,53.85,3955,2258800,120070417.0,0.0,0,99991231,1,0.0,BRCSNAACNOR6,236
2010-01-27,02,CSNA3,10,SID NACIONAL,ON,nan,R$,53.89,54.4,52.58,53.17,52.78,52.78,52.8,3772,1992500,105940020.0,0.0,0,99991231,1,0.0,BRCSNAACNOR6,236
2010-01-28,02,CSNA3,10,SID NACIONAL,ON,nan,R$,53.9,54.75,53.09,53.8,54.29,54.03,54.29,2688,2031400,109298716.0,0.0,0,99991231,1,0.0,BRCSNAACNOR6,236
2010-01-29,02,CSNA3,10,SID NACIONAL,ON,nan,R$,54.72,55.7,54.52,55.27,55.0,54.86,55.0,3141,2495700,137938963.0,0.0,0,99991231,1,0.0,BRCSNAACNOR6,236
2010-02-01,02,CSNA3,10,SID NACIONAL,ON,nan,R$,55.55,56.9,55.0,56.06,56.25,56.25,56.43,3086,2037500,114225534.0,0.0,0,99991231,1,0.0,BRCSNAACNOR6,236
2010-02-02,02,CSNA3,10,SID NACIONAL,ON,nan,R$,56.7,57.15,55.84,56.71,57.12,57.0,57.12,2820,1492700,84666428.0,0.0,0,99991231,1,0.0,BRCSNAACNOR6,236
2010-02-03,02,CSNA3,10,SID NACIONAL,ON,nan,R$,56.89,57.3,55.72,56.48,56.99,56.8,56.99,2846,2076300,117291315.0,0.0,0,99991231,1,0.0,BRCSNAACNOR6,236
2010-02-04,02,CSNA3,10,SID NACIONAL,ON,nan,R$,56.4,56.9,54.57,55.52,54.61,54.61,54.73,3012,2222800,123373972.0,0.0,0,99991231,1,0.0,BRCSNAACNOR6,236
2010-02-05,02,CSNA3,10,SID NACIONAL,ON,nan,R$,54.0,55.15,52.74,53.67,54.3,54.21,54.3,4863,2942600,157960886.0,0.0,0,99991231,1,0.0,BRCSNAACNOR6,236
2010-02-08,02,CSNA3,10,SID NACIONAL,ON,nan,R$,54.3,55.05,53.8,54.33,54.39,54.1,54.39,3729,1610500,87497791.0,0.0,0,99991231,1,0.0,BRCSNAACNOR6,236
2010-02-09,02,CSNA3,10,SID NACIONAL,ON,nan,R$,55.0,56.4,54.93,55.85,55.8,55.8,55.9,4978,2194700,122577377.0,0.0,0,99991231,1,0.0,BRCSNAACNOR6,236
2010-02-10,02,CSNA3,10,SID NACIONAL,ON,nan,R$,56.64,57.1,55.81,56.45,56.4,56.16,56.4,4570,2934200,165654817.0,0.0,0,99991231,1,0.0,BRCSNAACNOR6,236
2010-02-11,02,CSNA3,10,SID NACIONAL,ON,nan,R$,56.51,58.33,56.29,57.48,58.0,57.8,58.0,5941,3331700,191518028.0,0.0,0,99991231,1,0.0,BRCSNAACNOR6,236
2010-02-12,02,CSNA3,10,SID NACIONAL,ON,nan,R$,57.41,57.8,56.16,57.02,57.8,57.7,57.8,4484,2210100,126065316.0,0.0,0,99991231,1,0.0,BRCSNAACNOR6,236
2010-02-17,02,CSNA3,10,SID NACIONAL,ON,nan,R$,58.01,59.2,58.0,58.92,59.04,59.0,59.04,4199,1778000,104768401.0,0.0,0,99991231,1,0.0,BRCSNAACNOR6,236
2010-02-18,02,CSNA3,10,SID NACIONAL,ON,nan,R$,58.77,59.59,57.91,58.94,59.59,59.53,59.59,3656,1762200,103874735.0,0.0,0,99991231,1,0.0,BRCSNAACNOR6,236
2010-02-19,02,CSNA3,10,SID NACIONAL,ON,nan,R$,59.0,59.46,58.7,59.1,59.17,59.1,59.17,2730,1239100,73241120.0,0.0,0,99991231,1,0.0,BRCSNAACNOR6,236
2010-02-22,02,CSNA3,10,SID NACIONAL,ON,nan,R$,59.4,59.43,57.86,58.64,58.15,58.15,58.17,3371,1994500,116951929.0,0.0,0,99991231,1,0.0,BRCSNAACNOR6,236
2010-02-23,02,CSNA3,10,SID NACIONAL,ON,nan,R$,57.99,58.5,56.9,57.55,57.45,57.45,57.49,5238,2247000,129327220.0,0.0,0,99991231,1,0.0,BRCSNAACNOR6,236
2010-02-24,02,CSNA3,10,SID NACIONAL,ON,nan,R$,57.62,58.0,56.61,57.13,56.85,56.85,57.15,3475,1702300,97257340.0,0.0,0,99991231,1,0.0,BRCSNAACNOR6,236
2010-02-25,02,CSNA3,10,SID NACIONAL,ON,nan,R$,56.15,58.1,55.97,57.04,58.0,57.9,58.0,4294,2408400,137401932.0,0.0,0,99991231,1,0.0,BRCSNAACNOR6,236
2010-02-26,02,CSNA3,10,SID NACIONAL,ON,nan,R$,59.01,59.5,58.6,59.21,59.15,59.15,59.22,5425,4611400,273051790.0,0.0,0,99991231,1,0.0,BRCSNAACNOR6,236
2010-03-01,02,CSNA3,10,SID NACIONAL,ON,nan,R$,59.84,60.39,58.99,59.97,60.1,60.05,60.1,3535,1665400,99879018.0,0.0,0,99991231,1,0.0,BRCSNAACNOR6,236
2010-03-02,02,CSNA3,10,SID NACIONAL,ON,nan,R$,60.45,61.12,60.1,60.6,60.3,60.26,60.3,3806,2530000,153319127.0,0.0,0,99991231,1,0.0,BRCSNAACNOR6,236
2010-03-03,02,CSNA3,10,SID NACIONAL,ON,nan,R$,60.3,61.6,60.05,61.06,60.55,60.55,60.6,5461,2606200,159154256.0,0.0,0,99991231,1,0.0,BRCSNAACNOR6,236
2010-03-04,02,CSNA3,10,SID NACIONAL,ON,nan,R$,60.7,61.2,59.58,60.26,60.6,60.57,60.6,4626,2727000,164344571.0,0.0,0,99991231,1,0.0,BRCSNAACNOR6,236
2010-03-05,02,CSNA3,10,SID NACIONAL,ON,nan,R$,61.2,62.6,61.11,61.88,62.28,62.21,62.28,5838,2918100,180583090.0,0.0,0,99991231,1,0.0,BRCSNAACNOR6,236
2010-03-08,02,CSNA3,10,SID NACIONAL,ON,nan,R$,62.7,64.24,62.64,63.56,63.9,63.84,63.9,7513,3994100,253907379.0,0.0,0,99991231,1,0.0,BRCSNAACNOR6,236
2010-03-09,02,CSNA3,10,SID NACIONAL,ON,nan,R$,63.9,67.8,63.54,66.2,66.41,66.41,66.45,9553,5967800,395089376.0,0.0,0,99991231,1,0.0,BRCSNAACNOR6,236
2010-03-10,02,CSNA3,10,SID NACIONAL,ON,nan,R$,68.0,68.0,66.17,67.46,67.56,67.56,67.6,6410,3638200,245442193.0,0.0,0,99991231,1,0.0,BRCSNAACNOR6,236
2010-03-11,02,CSNA3,10,SID NACIONAL,ON,nan,R$,67.11,68.5,66.85,67.96,68.19,68.0,68.19,4527,2764200,187867454.0,0.0,0,99991231,1,0.0,BRCSNAACNOR6,236
2010-03-12,02,CSNA3,10,SID NACIONAL,ON,nan,R$,68.48,68.7,67.62,68.08,68.15,68.15,68.16,5106,2748600,187131569.0,0.0,0,99991231,1,0.0,BRCSNAACNOR6,236
2010-03-15,02,CSNA3,10,SID NACIONAL,ON,nan,R$,67.6,67.97,67.0,67.41,67.79,67.76,67.79,3731,1415300,95419300.0,0.0,0,99991231,1,0.0,BRCSNAACNOR6,236
2010-03-16,02,CSNA3,10,SID NACIONAL,ON,nan,R$,68.1,68.94,67.65,68.47,68.55,68.55,68.64,3872,2490700,170558610.0,0.0,0,99991231,1,0.0,BRCSNAACNOR6,236
