dia,cod_bdi,cod_neg,tp_merc,nom_res,especi,prazo_t,moeda,pre_abe,pre_max,pre_min,pre_med,pre_ult,pre_ofc,pre_ofv,tot_neg,qua_tot,vol_tot,pre_exe,ind_opc,dat_ven,fat_cot,pto_exe,cod_isi,dis_mes
2010-01-04,02,ITUB4,10,ITAUUNIBANCO,PN  EDJ N1,nan,R$,38.89,40.49,38.89,39.96,40.12,40.12,40.15,8170,5441600,217465813.0,0.0,0,99991231,1,0.0,BRITUBACNPR1,110
2010-01-05,02,ITUB4,10,ITAUUNIBANCO,PN  EDJ N1,nan,R$,40.22,40.38,39.9,40.16,40.38,40.05,40.38,7411,4005000,160862193.0,0.0,0,99991231,1,0.0,BRITUBACNPR1,110
2010-01-06,02,ITUB4,10,ITAUUNIBANCO,PN  EDJ N1,nan,R$,40.25,40.49,39.7,39.96,40.03,40.0,40.03,5967,4863900,194388606.0,0.0,0,99991231,1,0.0,BRITUBACNPR1,110
2010-01-07,02,ITUB4,10,ITAUUNIBANCO,PN  EDJ N1,nan,R$,39.75,40.05,39.55,39.69,39.62,39.62,39.65,7775,4655300,184760197.0,0.0,0,99991231,1,0.0,BRITUBACNPR1,110
2010-01-08,02,ITUB4,10,ITAUUNIBANCO,PN  EDJ N1,nan,R$,39.78,39.78,38.92,39.16,39.02,39.0,39.02,7059,4573600,179090737.0,0.0,0,99991231,1,0.0,BRITUBACNPR1,110
2010-01-11,02,ITUB4,10,ITAUUNIBANCO,PN  EDJ N1,nan,R$,39.19,39.45,38.15,38.52,38.68,38.59,38.68,11009,6212200,239303294.0,0.0,0,99991231,1,0.0,BRITUBACNPR1,110
2010-01-12,02,ITUB4,10,ITAUUNIBANCO,PN  EDJ N1,nan,R$,38.31,38.73,38.04,38.37,38.32,38.3,38.32,6909,4366400,167519059.0,0.0,0,99991231,1,0.0,BRITUBACNPR1,110
2010-01-13,02,ITUB4,10,ITAUUNIBANCO,PN  EDJ N1,nan,R$,38.4,38.98,38.0,38.43,38.44,38.4,38.44,7947,4670800,179519150.0,0.0,0,99991231,1,0.0,BRITUBACNPR1,110
2010-01-14,02,ITUB4,10,ITAUUNIBANCO,PN      N1,nan,R$,38.5,38.8,37.7,38.23,37.91,37.86,37.91,7263,4686600,179176613.0,0.0,0,99991231,1,0.0,BRITUBACNPR1,110
2010-01-15,02,ITUB4,10,ITAUUNIBANCO,PN      N1,nan,R$,37.8,38.29,37.02,37.49,37.27,37.1,37.27,11165,7496800,281087869.0,0.0,0,99991231,1,0.0,BRITUBACNPR1,110
2010-01-18,02,ITUB4,10,ITAUUNIBANCO,PN      N1,nan,R$,37.4,37.98,37.35,37.69,37.6,37.6,37.61,3152,2195400,82759279.0,0.0,0,99991231,1,0.0,BRITUBACNPR1,110
2010-01-19,02,ITUB4,10,ITAUUNIBANCO,PN      N1,nan,R$,37.3,38.03,37.21,37.6,37.5,37.47,37.5,7140,4891400,183910511.0,0.0,0,99991231,1,0.0,BRITUBACNPR1,110
2010-01-20,02,ITUB4,10,ITAUUNIBANCO,PN      N1,nan,R$,37.18,37.27,35.74,36.48,36.51,36.51,36.52,8203,6142500,224118913.0,0.0,0,99991231,1,0.0,BRITUBACNPR1,110
2010-01-21,02,ITUB4,10,ITAUUNIBANCO,PN      N1,nan,R$,36.62,36.79,35.43,35.97,35.84,35.84,35.89,11734,9983800,359178462.0,0.0,0,99991231,1,0.0,BRITUBACNPR1,110
2010-01-22,02,ITUB4,10,ITAUUNIBANCO,PN      N1,nan,R$,35.45,36.5,35.38,36.1,36.25,36.2,36.25,6873,5751300,207625082.0,0.0,0,99991231,1,0.0,BRITUBACNPR1,110
2010-01-26,02,ITUB4,10,ITAUUNIBANCO,PN      N1,nan,R$,35.41,36.49,35.05,35.82,36.34,36.13,36.34,7951,5502900,197134395.0,0.0,0,99991231,1,0.0,BRITUBACNPR1,110
2010-01-27,02,ITUB4,10,ITAUUNIBANCO,PN      N1,nan,R$,36.24,36.24,35.39,35.73,35.82,35.82,35.84,9779,5125000,183173194.0,0.0,0,99991231,1,0.0,BRITUBACNPR1,110
2010-01-28,02,ITUB4,10,ITAUUNIBANCO,PN      N1,nan,R$,36.22,36.89,35.64,36.21,36.89,36.7,36.89,6946,5829300,211155099.0,0.0,0,99991231,1,0.0,BRITUBACNPR1,110
2010-01-29,02,ITUB4,10,ITAUUNIBANCO,PN      N1,nan,R$,37.12,37.27,35.9,36.51,36.13,36.13,36.14,7531,5831600,212834413.0,0.0,0,99991231,1,0.0,BRITUBACNPR1,110
2010-02-01,02,ITUB4,10,ITAUUNIBANCO,PN  ED  N1,nan,R$,36.29,37.07,36.1,36.71,36.81,36.81,37.03,8140,4523000,166086569.0,0.0,0,99991231,1,0.0,BRITUBACNPR1,111
2010-02-02,02,ITUB4,10,ITAUUNIBANCO,PN  ED  N1,nan,R$,37.29,37.67,36.82,37.33,37.3,37.26,37.4,5644,4581000,171018125.0,0.0,0,99991231,1,0.0,BRITUBACNPR1,111
2010-02-03,02,ITUB4,10,ITAUUNIBANCO,PN  ED  N1,nan,R$,37.35,37.58,36.71,37.1,37.14,37.13,37.14,5696,3556800,131958455.0,0.0,0,99991231,1,0.0,BRITUBACNPR1,111
2010-02-04,02,ITUB4,10,ITAUUNIBANCO,PN  ED  N1,nan,R$,36.7,36.9,35.29,35.91,35.71,35.7,35.76,9252,5397000,193783557.0,0.0,0,99991231,1,0.0,BRITUBACNPR1,111
2010-02-05,02,ITUB4,10,ITAUUNIBANCO,PN  ED  N1,nan,R$,35.33,36.07,33.81,34.67,34.8,34.8,34.81,13374,9086900,315058185.0,0.0,0,99991231,1,0.0,BRITUBACNPR1,111
2010-02-08,02,ITUB4,10,ITAUUNIBANCO,PN  ED  N1,nan,R$,34.89,35.21,34.42,34.8,34.7,34.69,34.7,6300,5372600,186970055.0,0.0,0,99991231,1,0.0,BRITUBACNPR1,111
2010-02-09,02,ITUB4,10,ITAUUNIBANCO,PN  ED  N1,nan,R$,35.7,36.45,35.54,35.95,36.25,36.1,36.25,9515,9017400,324282521.0,0.0,0,99991231,1,0.0,BRITUBACNPR1,111
2010-02-10,02,ITUB4,10,ITAUUNIBANCO,PN  ED  N1,nan,R$,36.37,36.68,36.01,36.37,36.45,36.41,36.45,8055,4840000,176052958.0,0.0,0,99991231,1,0.0,BRITUBACNPR1,111
2010-02-11,02,ITUB4,10,ITAUUNIBANCO,PN      N1,nan,R$,36.45,37.3,35.89,36.77,37.09,37.0,37.09,7336,4475200,164568566.0,0.0,0,99991231,1,0.0,BRITUBACNPR1,111
2010-02-12,02,ITUB4,10,ITAUUNIBANCO,PN      N1,nan,R$,36.6,37.4,36.0,36.7,37.08,37.0,37.08,5178,3877300,142333199.0,0.0,0,99991231,1,0.0,BRITUBACNPR1,111
2010-02-17,02,ITUB4,10,ITAUUNIBANCO,PN      N1,nan,R$,37.48,38.03,37.48,37.86,37.88,37.88,37.89,5940,4279000,162024105.0,0.0,0,99991231,1,0.0,BRITUBACNPR1,111
2010-02-18,02,ITUB4,10,ITAUUNIBANCO,PN      N1,nan,R$,37.59,38.0,37.4,37.65,38.0,37.94,38.0,3933,5228800,196902603.0,0.0,0,99991231,1,0.0,BRITUBACNPR1,111
2010-02-19,02,ITUB4,10,ITAUUNIBANCO,PN      N1,nan,R$,37.7,37.8,37.4,37.58,37.4,37.4,37.41,3544,3044500,114411660.0,0.0,0,99991231,1,0.0,BRITUBACNPR1,111
2010-02-22,02,ITUB4,10,ITAUUNIBANCO,PN  EJ  N1,nan,R$,37.31,37.35,36.62,36.95,36.62,36.62,36.68,5896,3548900,131152034.0,0.0,0,99991231,1,0.0,BRITUBACNPR1,112
2010-02-23,02,ITUB4,10,ITAUUNIBANCO,PN  EJ  N1,nan,R$,36.37,36.5,35.6,35.92,36.01,35.9,36.01,6111,3339500,119985307.0,0.0,0,99991231,1,0.0,BRITUBACNPR1,112
2010-02-24,02,ITUB4,10,ITAUUNIBANCO,PN  EJ  N1,nan,R$,36.0,36.15,35.51,35.82,35.61,35.61,35.69,5748,3939900,141155801.0,0.0,0,99991231,1,0.0,BRITUBACNPR1,112
2010-02-25,02,ITUB4,10,ITAUUNIBANCO,PN  EJ  N1,nan,R$,35.0,36.23,34.85,35.44,35.6,35.6,35.72,5791,3728700,132165637.0,0.0,0,99991231,1,0.0,BRITUBACNPR1,112
2010-02-26,02,ITUB4,10,ITAUUNIBANCO,PN  EJ  N1,nan,R$,35.7,36.5,35.34,35.99,36.5,36.3,36.5,8165,6756800,243195924.0,0.0,0,99991231,1,0.0,BRITUBACNPR1,112
2010-03-01,02,ITUB4,10,ITAUUNIBANCO,PN  EDJ N1,nan,R$,36.75,36.89,36.46,36.65,36.56,36.56,36.65,5566,3823700,140162419.0,0.0,0,99991231,1,0.0,BRITUBACNPR1,113
2010-03-02,02,ITUB4,10,ITAUUNIBANCO,PN  EDJ N1,nan,R$,36.89,37.25,36.82,37.03,37.15,37.15,37.19,6611,4307200,159526935.0,0.0,0,99991231,1,0.0,BRITUBACNPR1,113
2010-03-03,02,ITUB4,10,ITAUUNIBANCO,PN  EDJ N1,nan,R$,37.32,37.87,36.97,37.41,37.15,37.15,37.2,11890,6672500,249668831.0,0.0,0,99991231,1,0.0,BRITUBACNPR1,113
2010-03-04,02,ITUB4,10,ITAUUNIBANCO,PN  ED  N1,nan,R$,37.4,37.56,36.8,37.16,37.1,37.1,37.12,5350,2761900,102655646.0,0.0,0,99991231,1,0.0,BRITUBACNPR1,113
2010-03-05,02,ITUB4,10,ITAUUNIBANCO,PN  ED  N1,nan,R$,37.6,37.65,37.22,37.34,37.3,37.26,37.3,6016,4255900,158919580.0,0.0,0,99991231,1,0.0,BRITUBACNPR1,113
2010-03-08,02,ITUB4,10,ITAUUNIBANCO,PN  ED  N1,nan,R$,37.17,37.63,37.1,37.4,37.28,37.28,37.3,7379,3193300,119436386.0,0.0,0,99991231,1,0.0,BRITUBACNPR1,113
2010-03-09,02,ITUB4,10,ITAUUNIBANCO,PN  ED  N1,nan,R$,37.09,38.24,37.04,37.81,37.74,37.72,37.74,9309,5763300,217945519.0,0.0,0,99991231,1,0.0,BRITUBACNPR1,113
2010-03-10,02,ITUB4,10,ITAUUNIBANCO,PN  ED  N1,nan,R$,38.0,38.52,37.72,38.11,37.9,37.85,37.9,9793,5194800,197981739.0,0.0,0,99991231,1,0.0,BRITUBACNPR1,113
2010-03-11,02,ITUB4,10,ITAUUNIBANCO,PN      N1,nan,R$,37.64,38.05,37.41,37.86,38.0,37.9,38.0,4695,2865100,108482513.0,0.0,0,99991231,1,0.0,BRITUBACNPR1,113
2010-03-12,02,ITUB4,10,ITAUUNIBANCO,PN      N1,nan,R$,38.38,38.38,37.33,37.66,37.39,37.33,37.39,5741,2993000,112724438.0,0.0,0,99991231,1,0.0,BRITUBACNPR1,113
2010-03-15,02,ITUB4,10,ITAUUNIBANCO,PN      N1,nan,R$,37.21,37.74,37.1,37.45,37.61,37.61,37.69,5045,2667100,99902231.0,0.0,0,99991231,1,0.0,BRITUBACNPR1,113
2010-03-16,02,ITUB4,10,ITAUUNIBANCO,PN      N1,nan,R$,37.62,38.05,37.49,37.82,37.85,37.83,37.85,5574,3003400,113618642.0,0.0,0,99991231,1,0.0,BRITUBACNPR1,113
2010-03-17,02,ITUB4,10,ITAUUNIBANCO,PN      N1,nan,R$,38.07,38.17,37.15,37.69,37.5,37.39,37.5,5732,3542600,133532534.0,0.0,0,99991231,1,0.0,BRITUBACNPR1,113
2010-03-18,02,ITUB4,10,ITAUUNIBANCO,PN      N1,nan,R$,37.67,37.67,36.76,37.03,37.2,37.04,37.2,8295,4979300,184430290.0,0.0,0,99991231,1,0.0,BRITUBACNPR1,113
2010-03-19,02,ITUB4,10,ITAUUNIBANCO,PN      N1,nan,R$,37.39,37.49,36.66,36.95,37.05,36.85,37.05,6620,4742300,175261590.0,0.0,0,99991231,1,0.0,BRITUBACNPR1,113
2010-03-22,02,ITUB4,10,ITAUUNIBANCO,PN      N1,nan,R$,36.65,37.6,36.48,37.3,37.6,37.51,37.6,5353,4550800,169791488.0,0.0,0,99991231,1,0.0,BRITUBACNPR1,113
2010-03-23,02,ITUB4,10,ITAUUNIBANCO,PN      N1,nan,R$,37.69,37.69,36.82,37.09,37.29,37.15,37.29,4325,2776600,103012614.0,0.0,0,99991231,1,0.0,BRITUBACNPR1,113
2010-03-24,02,ITUB4,10,ITAUUNIBANCO,PN      N1,nan,R$,36.94,37.09,36.49,36.72,36.5,36.47,36.5,5380,4310200,158267767.0,0.0,0,99991231,1,0.0,BRITUBACNPR1,113
2010-03-25,02,ITUB4,10,ITAUUNIBANCO,PN      N1,nan,R$,36.7,37.38,36.65,37.02,36.94,36.91,36.94,5355,3836500,142024052.0,0.0,0,99991231,1,0.0,BRITUBACNPR1,113
2010-03-26,02,ITUB4,10,ITAUUNIBANCO,PN      N1,nan,R$,36.81,37.6,36.81,37.26,37.6,37.49,37.6,7697,3980500,148353942.0,0.0,0,99991231,1,0.0,BRITUBACNPR1,113
2010-03-29,02,ITUB4,10,ITAUUNIBANCO,PN      N1,nan,R$,37.5,38.25,37.44,38.02,38.16,38.16,38.17,7374,4576200,174034854.0,0.0,0,99991231,1,0.0,BRITUBACNPR1,113
2010-03-30,02,ITUB4,10,ITAUUNIBANCO,PN      N1,nan,R$,38.25,38.55,38.07,38.39,38.55,38.5,38.55,7148,4443300,170604879.0,0.0,0,99991231,1,0.0,BRITUBACNPR1,113
2010-03-31,02,ITUB4,10,ITAUUNIBANCO,PN      N1,nan,R$,38.5,39.25,38.18,38.87,39.0,38.85,39.0,9721,5511600,214288820.0,0.0,0,99991231,1,0.0,BRITUBACNPR1,113
2010-04-01,02,ITUB4,10,ITAUUNIBANCO,PN  ED  N1,nan,R$,39.19,39.6,39.1,39.43,39.2,39.2,39.35,6633,4548700,179350544.0,0.0,0,99991231,1,0.0,BRITUBACNPR1,114
2010-04-05,02,ITUB4,10,ITAUUNIBANCO,PN  ED  N1,nan,R$,39.17,39.77,39.12,39.52,39.45,39.42,39.45,4183,2829000,111813573.0,0.0,0,99991231,1,0.0,BRITUBACNPR1,114
2010-04-06,02,ITUB4,10,ITAUUNIBANCO,PN  ED  N1,nan,R$,39.0,39.54,38.92,39.25,38.95,38.95,39.02,6481,3621900,142173978.0,0.0,0,99991231,1,0.0,BRITUBACNPR1,114
2010-04-07,02,ITUB4,10,ITAUUNIBANCO,PN  ED  N1,nan,R$,38.81,39.01,38.51,38.74,38.6,38.6,38.79,7061,4092500,158574015.0,0.0,0,99991231,1,0.0,BRITUBACNPR1,114
2010-04-08,02,ITUB4,10,ITAUUNIBANCO,PN  ED  N1,nan,R$,38.6,40.15,38.3,39.53,39.98,39.85,39.98,9394,6312900,249578109.0,0.0,0,99991231,1,0.0,BRITUBACNPR1,114
2010-04-09,02,ITUB4,10,ITAUUNIBANCO,PN  ED  N1,nan,R$,40.0,40.27,39.61,40.02,40.1,40.02,40.1,7268,4792000,191820821.0,0.0,0,99991231,1,0.0,BRITUBACNPR1,114
2010-04-12,02,ITUB4,10,ITAUUNIBANCO,PN  ED  N1,nan,R$,39.93,40.16,39.42,39.73,39.55,39.55,39.57,7376,4084200,162289995.0,0.0,0,99991231,1,0.0,BRITUBACNPR1,114
2010-04-13,02,ITUB4,10,ITAUUNIBANCO,PN  ED  N1,nan,R$,39.69,39.79,39.26,39.51,39.43,39.4,39.43,5751,3148000,124401326.0,0.0,0,99991231,1,0.0,BRITUBACNPR1,114
2010-04-14,02,ITUB4,10,ITAUUNIBANCO,PN      N1,nan,R$,39.5,39.97,39.01,39.51,39.65,39.65,39.67,7959,4966300,196228378.0,0.0,0,99991231,1,0.0,BRITUBACNPR1,114
2010-04-15,02,ITUB4,10,ITAUUNIBANCO,PN      N1,nan,R$,39.75,39.78,39.36,39.55,39.59,39.4,39.59,7880,4664000,184472557.0,0.0,0,99991231,1,0.0,BRITUBACNPR1,114
2010-04-16,02,ITUB4,10,ITAUUNIBANCO,PN      N1,nan,R$,39.36,39.5,38.12,38.55,38.35,38.35,38.4,7397,5468000,210790919.0,0.0,0,99991231,1,0.0,BRITUBACNPR1,114
2010-04-19,02,ITUB4,10,ITAUUNIBANCO,PN      N1,nan,R$,38.18,38.47,37.43,37.86,37.91,37.8,37.91,7601,4785100,181168491.0,0.0,0,99991231,1,0.0,BRITUBACNPR1,114
2010-04-20,02,ITUB4,10,ITAUUNIBANCO,PN      N1,nan,R$,37.95,38.25,37.64,38.0,38.25,38.2,38.25,6322,3569500,135662507.0,0.0,0,99991231,1,0.0,BRITUBACNPR1,114
2010-04-22,02,ITUB4,10,ITAUUNIBANCO,PN      N1,nan,R$,37.79,38.1,37.21,37.59,37.9,37.85,37.9,10436,5686400,213776306.0,0.0,0,99991231,1,0.0,BRITUBACNPR1,114
2010-04-23,02,ITUB4,10,ITAUUNIBANCO,PN      N1,nan,R$,37.81,38.0,37.39,37.68,37.95,37.75,37.95,6417,3740300,140951466.0,0.0,0,99991231,1,0.0,BRITUBACNPR1,114
2010-04-26,02,ITUB4,10,ITAUUNIBANCO,PN      N1,nan,R$,37.95,38.03,37.41,37.64,37.46,37.46,37.49,5152,3488200,131309632.0,0.0,0,99991231,1,0.0,BRITUBACNPR1,114
2010-04-27,02,ITUB4,10,ITAUUNIBANCO,PN      N1,nan,R$,37.17,37.37,36.21,36.79,36.21,36.21,36.28,8824,4992100,183638963.0,0.0,0,99991231,1,0.0,BRITUBACNPR1,114
2010-04-28,02,ITUB4,10,ITAUUNIBANCO,PN      N1,nan,R$,36.6,37.13,36.26,36.82,37.13,37.11,37.13,8263,4603300,169544110.0,0.0,0,99991231,1,0.0,BRITUBACNPR1,114
