dia,cod_bdi,cod_neg,tp_merc,nom_res,especi,prazo_t,moeda,pre_abe,pre_max,pre_min,pre_med,pre_ult,pre_ofc,pre_ofv,tot_neg,qua_tot,vol_tot,pre_exe,ind_opc,dat_ven,fat_cot,pto_exe,cod_isi,dis_mes
2012-03-14,02,KROT3,10,KROTON,ON      N2,nan,R$,3.25,3.25,3.25,3.25,3.25,0.0,5.0,3,600,1950.0,0.0,0,99991231,1,0.0,BRKROTACNOR9,104
2012-03-16,02,KROT3,10,KROTON,ON      N2,nan,R$,3.25,3.25,3.25,3.25,3.25,0.0,4.0,1,4700,15275.0,0.0,0,99991231,1,0.0,BRKROTACNOR9,104
2012-03-29,02,KROT3,10,KROTON,ON      N2,nan,R$,3.25,3.25,3.25,3.25,3.25,0.0,0.0,1,13200,42900.0,0.0,0,99991231,1,0.0,BRKROTACNOR9,104
2012-06-01,02,KROT3,10,KROTON,ON      N2,nan,R$,2.3,2.31,2.3,2.3,2.31,2.3,3.0,2,200,461.0,0.0,0,99991231,1,0.0,BRKROTACNOR9,104
2012-06-08,02,KROT3,10,KROTON,ON      N2,nan,R$,2.2,2.2,2.2,2.2,2.2,2.0,2.2,3,4000,8800.0,0.0,0,99991231,1,0.0,BRKROTACNOR9,104
2012-06-21,02,KROT3,10,KROTON,ON      N2,nan,R$,2.2,2.2,2.2,2.2,2.2,2.2,3.6,2,2200,4840.0,0.0,0,99991231,1,0.0,BRKROTACNOR9,104
2012-06-22,02,KROT3,10,KROTON,ON      N2,nan,R$,2.2,2.2,2.2,2.2,2.2,2.2,3.6,2,200,440.0,0.0,0,99991231,1,0.0,BRKROTACNOR9,104
2012-06-25,02,KROT3,10,KROTON,ON      N2,nan,R$,2.2,2.2,2.2,2.2,2.2,2.2,0.0,5,3500,7700.0,0.0,0,99991231,1,0.0,BRKROTACNOR9,104
2012-06-26,02,KROT3,10,KROTON,ON      N2,nan,R$,2.2,2.2,2.2,2.2,2.2,2.2,0.0,1,100,220.0,0.0,0,99991231,1,0.0,BRKROTACNOR9,104
2012-07-04,02,KROT3,10,KROTON,ON      N2,nan,R$,2.2,2.2,2.2,2.2,2.2,2.0,0.0,1,3700,8140.0,0.0,0,99991231,1,0.0,BRKROTACNOR9,104
2012-07-12,02,KROT3,10,KROTON,ON      N2,nan,R$,2.0,2.2,2.0,2.05,2.2,2.0,0.0,4,2800,5760.0,0.0,0,99991231,1,0.0,BRKROTACNOR9,104
2012-07-31,02,KROT3,10,KROTON,ON      N2,nan,R$,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2,2200,4400.0,0.0,0,99991231,1,0.0,BRKROTACNOR9,104
2012-08-14,02,KROT3,10,KROTON,ON      N2,nan,R$,2.01,2.2,2.01,2.1,2.2,0.0,0.0,2,200,421.0,0.0,0,99991231,1,0.0,BRKROTACNOR9,104
2012-10-15,02,KROT3,10,KROTON,ON      N2,nan,R$,2.36,2.5,2.36,2.36,2.5,2.5,3.0,4,2100,4970.0,0.0,0,99991231,1,0.0,BRKROTACNOR9,104
