dia,cod_bdi,cod_neg,tp_merc,nom_res,especi,prazo_t,moeda,pre_abe,pre_max,pre_min,pre_med,pre_ult,pre_ofc,pre_ofv,tot_neg,qua_tot,vol_tot,pre_exe,ind_opc,dat_ven,fat_cot,pto_exe,cod_isi,dis_mes
2010-01-04,02,LAME4,10,LOJAS AMERIC,PN,nan,R$,15.69,15.89,15.56,15.79,15.75,15.73,15.75,1978,1468900,23193196.0,0.0,0,99991231,1,0.0,BRLAMEACNPR6,171
2010-01-05,02,LAME4,10,LOJAS AMERIC,PN,nan,R$,15.77,15.79,15.2,15.37,15.2,15.19,15.2,4638,2964200,45565184.0,0.0,0,99991231,1,0.0,BRLAMEACNPR6,171
2010-01-06,02,LAME4,10,LOJAS AMERIC,PN,nan,R$,15.29,15.3,14.81,14.93,14.91,14.9,14.91,5040,4062600,60682998.0,0.0,0,99991231,1,0.0,BRLAMEACNPR6,171
2010-01-07,02,LAME4,10,LOJAS AMERIC,PN,nan,R$,14.91,15.22,14.75,15.02,14.9,14.9,14.91,4066,2756600,41404302.0,0.0,0,99991231,1,0.0,BRLAMEACNPR6,171
2010-01-08,02,LAME4,10,LOJAS AMERIC,PN,nan,R$,15.0,15.08,14.76,14.92,14.95,14.9,14.95,3096,1669700,24922461.0,0.0,0,99991231,1,0.0,BRLAMEACNPR6,171
2010-01-11,02,LAME4,10,LOJAS AMERIC,PN,nan,R$,15.05,15.17,14.83,14.98,15.0,14.96,15.0,3051,1339100,20069838.0,0.0,0,99991231,1,0.0,BRLAMEACNPR6,171
2010-01-12,02,LAME4,10,LOJAS AMERIC,PN,nan,R$,14.84,15.23,14.61,14.99,15.23,15.17,15.23,3141,1924900,28884337.0,0.0,0,99991231,1,0.0,BRLAMEACNPR6,171
2010-01-13,02,LAME4,10,LOJAS AMERIC,PN,nan,R$,15.25,15.42,14.92,15.18,15.39,15.38,15.39,3561,1807300,27446079.0,0.0,0,99991231,1,0.0,BRLAMEACNPR6,171
2010-01-14,02,LAME4,10,LOJAS AMERIC,PN,nan,R$,15.2,15.4,15.05,15.2,15.13,15.12,15.13,3105,1424700,21653308.0,0.0,0,99991231,1,0.0,BRLAMEACNPR6,171
2010-01-15,02,LAME4,10,LOJAS AMERIC,PN,nan,R$,14.94,15.05,14.75,14.87,14.96,14.85,14.96,3135,1442800,21467868.0,0.0,0,99991231,1,0.0,BRLAMEACNPR6,171
2010-01-18,02,LAME4,10,LOJAS AMERIC,PN,nan,R$,15.0,15.12,14.6,14.77,14.6,14.6,14.61,3826,2548800,37650176.0,0.0,0,99991231,1,0.0,BRLAMEACNPR6,171
2010-01-19,02,LAME4,10,LOJAS AMERIC,PN,nan,R$,14.5,14.78,14.18,14.59,14.75,14.71,14.75,6447,2288300,33413202.0,0.0,0,99991231,1,0.0,BRLAMEACNPR6,171
2010-01-20,02,LAME4,10,LOJAS AMERIC,PN,nan,R$,14.53,14.54,14.02,14.2,14.14,14.12,14.14,6277,2991200,42485635.0,0.0,0,99991231,1,0.0,BRLAMEACNPR6,171
2010-01-21,02,LAME4,10,LOJAS AMERIC,PN,nan,R$,14.2,14.2,13.4,13.76,13.8,13.75,13.8,5953,3639000,50095751.0,0.0,0,99991231,1,0.0,BRLAMEACNPR6,171
2010-01-22,02,LAME4,10,LOJAS AMERIC,PN,nan,R$,13.53,13.78,13.35,13.51,13.42,13.41,13.42,3501,2552500,34496537.0,0.0,0,99991231,1,0.0,BRLAMEACNPR6,171
2010-01-26,02,LAME4,10,LOJAS AMERIC,PN,nan,R$,13.31,13.34,12.81,13.06,13.25,13.25,13.28,3677,2377700,31070779.0,0.0,0,99991231,1,0.0,BRLAMEACNPR6,171
2010-01-27,02,LAME4,10,LOJAS AMERIC,PN,nan,R$,13.35,13.53,12.91,13.31,13.42,13.38,13.42,4825,2502000,33328736.0,0.0,0,99991231,1,0.0,BRLAMEACNPR6,171
2010-01-28,02,LAME4,10,LOJAS AMERIC,PN,nan,R$,13.61,13.64,12.93,13.13,13.05,13.04,13.05,2966,2387600,31347983.0,0.0,0,99991231,1,0.0,BRLAMEACNPR6,171
2010-01-29,02,LAME4,10,LOJAS AMERIC,PN,nan,R$,13.1,13.72,13.08,13.26,13.23,13.23,13.24,3712,3055400,40530889.0,0.0,0,99991231,1,0.0,BRLAMEACNPR6,171
2010-02-01,02,LAME4,10,LOJAS AMERIC,PN,nan,R$,13.31,13.48,13.05,13.34,13.45,13.4,13.45,2921,1631600,21779441.0,0.0,0,99991231,1,0.0,BRLAMEACNPR6,171
2010-02-02,02,LAME4,10,LOJAS AMERIC,PN,nan,R$,13.5,13.8,13.49,13.66,13.8,13.78,13.8,3869,2395000,32740208.0,0.0,0,99991231,1,0.0,BRLAMEACNPR6,171
2010-02-03,02,LAME4,10,LOJAS AMERIC,PN,nan,R$,13.79,14.2,13.74,13.95,14.13,14.13,14.15,6549,4363000,60895135.0,0.0,0,99991231,1,0.0,BRLAMEACNPR6,171
2010-02-04,02,LAME4,10,LOJAS AMERIC,PN,nan,R$,14.0,14.0,13.1,13.46,13.22,13.22,13.25,2843,2269500,30553733.0,0.0,0,99991231,1,0.0,BRLAMEACNPR6,171
2010-02-05,02,LAME4,10,LOJAS AMERIC,PN,nan,R$,13.0,13.17,12.38,12.64,12.6,12.58,12.6,5194,4461100,56397688.0,0.0,0,99991231,1,0.0,BRLAMEACNPR6,171
