dia,cod_bdi,cod_neg,tp_merc,nom_res,especi,prazo_t,moeda,pre_abe,pre_max,pre_min,pre_med,pre_ult,pre_ofc,pre_ofv,tot_neg,qua_tot,vol_tot,pre_exe,ind_opc,dat_ven,fat_cot,pto_exe,cod_isi,dis_mes
2010-01-04,02,NATU3,10,NATURA,ON      NM,nan,R$,36.35,37.97,36.35,37.71,37.9,37.5,37.9,1903,717700,27073367.0,0.0,0,99991231,1,0.0,BRNATUACNOR6,114
2010-01-05,02,NATU3,10,NATURA,ON      NM,nan,R$,38.3,39.12,37.29,37.99,37.42,37.42,38.08,1859,496200,18853281.0,0.0,0,99991231,1,0.0,BRNATUACNOR6,114
2010-01-06,02,NATU3,10,NATURA,ON      NM,nan,R$,37.77,38.4,37.52,37.94,37.88,37.65,37.88,1993,402700,15282143.0,0.0,0,99991231,1,0.0,BRNATUACNOR6,114
2010-01-07,02,NATU3,10,NATURA,ON      NM,nan,R$,37.5,38.15,36.31,36.81,36.6,36.59,36.6,3744,1268400,46693733.0,0.0,0,99991231,1,0.0,BRNATUACNOR6,114
2010-01-08,02,NATU3,10,NATURA,ON      NM,nan,R$,36.75,36.81,35.18,35.7,36.0,36.0,36.09,3163,1259400,44967008.0,0.0,0,99991231,1,0.0,BRNATUACNOR6,114
2010-01-11,02,NATU3,10,NATURA,ON      NM,nan,R$,36.36,36.5,35.2,35.51,35.28,35.28,35.43,2698,724900,25743783.0,0.0,0,99991231,1,0.0,BRNATUACNOR6,114
2010-01-12,02,NATU3,10,NATURA,ON      NM,nan,R$,35.16,36.2,34.87,35.37,36.1,36.09,36.1,2774,1150400,40708924.0,0.0,0,99991231,1,0.0,BRNATUACNOR6,114
2010-01-13,02,NATU3,10,NATURA,ON      NM,nan,R$,36.18,36.4,35.61,35.93,35.61,35.61,35.63,2463,916100,32921260.0,0.0,0,99991231,1,0.0,BRNATUACNOR6,114
2010-01-14,02,NATU3,10,NATURA,ON      NM,nan,R$,35.61,36.2,35.22,35.56,35.5,35.44,35.5,3357,1003300,35680575.0,0.0,0,99991231,1,0.0,BRNATUACNOR6,114
2010-01-15,02,NATU3,10,NATURA,ON      NM,nan,R$,35.39,35.47,34.71,34.99,35.16,35.0,35.16,2789,735900,25752048.0,0.0,0,99991231,1,0.0,BRNATUACNOR6,114
