dia,cod_bdi,cod_neg,tp_merc,nom_res,especi,prazo_t,moeda,pre_abe,pre_max,pre_min,pre_med,pre_ult,pre_ofc,pre_ofv,tot_neg,qua_tot,vol_tot,pre_exe,ind_opc,dat_ven,fat_cot,pto_exe,cod_isi,dis_mes
2010-01-04,02,PETR4,10,PETROBRAS,PN  EJ,nan,R$,36.95,37.32,36.82,37.1,37.32,37.3,37.32,13756,13508000,501288505.0,0.0,0,99991231,1,0.0,BRPETRACNPR6,169
2010-01-05,02,PETR4,10,PETROBRAS,PN  EJ,nan,R$,37.38,37.43,36.8,37.12,37.0,36.96,37.0,23047,21728900,806640991.0,0.0,0,99991231,1,0.0,BRPETRACNPR6,169
2010-01-06,02,PETR4,10,PETROBRAS,PN,nan,R$,36.8,37.5,36.8,37.25,37.5,37.48,37.5,18856,18884900,703499776.0,0.0,0,99991231,1,0.0,BRPETRACNPR6,169
2010-01-07,02,PETR4,10,PETROBRAS,PN,nan,R$,37.27,37.45,37.07,37.24,37.15,37.15,37.18,12988,11208900,417465445.0,0.0,0,99991231,1,0.0,BRPETRACNPR6,169
2010-01-08,02,PETR4,10,PETROBRAS,PN,nan,R$,37.16,37.39,36.86,37.06,36.95,36.95,36.99,14445,14866500,551035848.0,0.0,0,99991231,1,0.0,BRPETRACNPR6,169
2010-01-11,02,PETR4,10,PETROBRAS,PN,nan,R$,37.21,37.34,36.62,37.0,36.83,36.83,36.84,16749,15865000,587049067.0,0.0,0,99991231,1,0.0,BRPETRACNPR6,169
2010-01-12,02,PETR4,10,PETROBRAS,PN,nan,R$,36.59,36.68,36.04,36.27,36.36,36.36,36.37,18566,15156600,549888546.0,0.0,0,99991231,1,0.0,BRPETRACNPR6,169
2010-01-13,02,PETR4,10,PETROBRAS,PN,nan,R$,36.56,36.74,35.84,36.17,36.3,36.27,36.3,23782,23668100,856344358.0,0.0,0,99991231,1,0.0,BRPETRACNPR6,169
2010-01-14,02,PETR4,10,PETROBRAS,PN,nan,R$,36.28,36.46,35.56,35.92,35.67,35.67,35.68,21961,20965300,752909397.0,0.0,0,99991231,1,0.0,BRPETRACNPR6,169
2010-01-15,02,PETR4,10,PETROBRAS,PN,nan,R$,35.57,36.1,35.51,35.74,35.75,35.74,35.75,19941,21387100,764376001.0,0.0,0,99991231,1,0.0,BRPETRACNPR6,169
2010-01-18,02,PETR4,10,PETROBRAS,PN,nan,R$,35.9,36.67,35.77,36.28,36.55,36.55,36.56,17483,23278300,844780759.0,0.0,0,99991231,1,0.0,BRPETRACNPR6,169
2010-01-19,02,PETR4,10,PETROBRAS,PN,nan,R$,36.45,36.65,36.24,36.41,36.38,36.38,36.39,14813,17228600,627387417.0,0.0,0,99991231,1,0.0,BRPETRACNPR6,169
2010-01-20,02,PETR4,10,PETROBRAS,PN,nan,R$,36.1,36.15,35.26,35.61,35.45,35.45,35.48,18253,19192400,683599736.0,0.0,0,99991231,1,0.0,BRPETRACNPR6,169
2010-01-21,02,PETR4,10,PETROBRAS,PN,nan,R$,35.58,35.7,34.29,34.71,34.33,34.33,34.35,25440,24947300,865922900.0,0.0,0,99991231,1,0.0,BRPETRACNPR6,169
2010-01-22,02,PETR4,10,PETROBRAS,PN,nan,R$,34.11,34.8,34.06,34.5,34.75,34.71,34.75,18035,19267500,664875573.0,0.0,0,99991231,1,0.0,BRPETRACNPR6,169
2010-01-26,02,PETR4,10,PETROBRAS,PN,nan,R$,34.29,34.34,33.65,33.97,33.9,33.9,33.91,19335,20742200,704658604.0,0.0,0,99991231,1,0.0,BRPETRACNPR6,169
2010-01-27,02,PETR4,10,PETROBRAS,PN,nan,R$,33.9,34.29,33.51,33.92,34.11,34.11,34.15,24924,20195100,685201281.0,0.0,0,99991231,1,0.0,BRPETRACNPR6,169
2010-01-28,02,PETR4,10,PETROBRAS,PN,nan,R$,34.6,34.69,33.87,34.34,34.61,34.61,34.62,13128,13932800,478505758.0,0.0,0,99991231,1,0.0,BRPETRACNPR6,169
2010-01-29,02,PETR4,10,PETROBRAS,PN,nan,R$,34.78,35.05,33.93,34.6,34.17,34.15,34.17,15956,16362100,566070004.0,0.0,0,99991231,1,0.0,BRPETRACNPR6,169
2010-02-01,02,PETR4,10,PETROBRAS,PN,nan,R$,34.29,34.49,33.9,34.22,34.3,34.3,34.31,13468,16406100,561620766.0,0.0,0,99991231,1,0.0,BRPETRACNPR6,169
2010-02-02,02,PETR4,10,PETROBRAS,PN,nan,R$,34.51,34.67,34.06,34.25,34.1,34.1,34.13,16024,15526400,531776228.0,0.0,0,99991231,1,0.0,BRPETRACNPR6,169
2010-02-03,02,PETR4,10,PETROBRAS,PN,nan,R$,34.05,34.18,33.73,33.96,34.04,34.03,34.04,14250,16331200,554735148.0,0.0,0,99991231,1,0.0,BRPETRACNPR6,169
2010-02-04,02,PETR4,10,PETROBRAS,PN,nan,R$,33.84,33.94,32.12,32.86,32.3,32.29,32.3,24013,24822600,815437925.0,0.0,0,99991231,1,0.0,BRPETRACNPR6,169
2010-02-05,02,PETR4,10,PETROBRAS,PN,nan,R$,31.8,32.27,30.72,31.41,31.52,31.51,31.52,27735,29866200,938494404.0,0.0,0,99991231,1,0.0,BRPETRACNPR6,169
2010-02-08,02,PETR4,10,PETROBRAS,PN,nan,R$,31.8,32.26,31.42,31.86,31.74,31.74,31.75,14892,19117800,609008112.0,0.0,0,99991231,1,0.0,BRPETRACNPR6,169
2010-02-09,02,PETR4,10,PETROBRAS,PN,nan,R$,32.2,32.68,32.1,32.34,32.24,32.24,32.25,14834,18306700,592119413.0,0.0,0,99991231,1,0.0,BRPETRACNPR6,169
2010-02-10,02,PETR4,10,PETROBRAS,PN,nan,R$,32.33,32.73,31.77,32.27,32.64,32.63,32.64,16398,22116200,713807679.0,0.0,0,99991231,1,0.0,BRPETRACNPR6,169
2010-02-11,02,PETR4,10,PETROBRAS,PN,nan,R$,32.89,33.47,32.73,33.15,33.36,33.36,33.37,19785,24573700,814879415.0,0.0,0,99991231,1,0.0,BRPETRACNPR6,169
2010-02-12,02,PETR4,10,PETROBRAS,PN,nan,R$,33.0,34.02,32.95,33.52,33.8,33.8,33.85,16549,19276400,646205072.0,0.0,0,99991231,1,0.0,BRPETRACNPR6,169
2010-02-17,02,PETR4,10,PETROBRAS,PN,nan,R$,34.39,34.5,34.03,34.25,34.25,34.25,34.27,16929,16766700,574282320.0,0.0,0,99991231,1,0.0,BRPETRACNPR6,169
2010-02-18,02,PETR4,10,PETROBRAS,PN,nan,R$,34.24,34.69,33.82,34.29,34.69,34.68,34.69,15992,17307500,593657462.0,0.0,0,99991231,1,0.0,BRPETRACNPR6,169
2010-02-19,02,PETR4,10,PETROBRAS,PN,nan,R$,34.42,34.65,34.16,34.46,34.35,34.35,34.4,12571,12002700,413677962.0,0.0,0,99991231,1,0.0,BRPETRACNPR6,169
2010-02-22,02,PETR4,10,PETROBRAS,PN,nan,R$,34.5,34.89,34.41,34.64,34.65,34.64,34.65,24470,19936000,690714015.0,0.0,0,99991231,1,0.0,BRPETRACNPR6,169
2010-02-23,02,PETR4,10,PETROBRAS,PN,nan,R$,34.41,34.65,34.0,34.27,34.19,34.15,34.19,16560,17024000,583528293.0,0.0,0,99991231,1,0.0,BRPETRACNPR6,169
2010-02-24,02,PETR4,10,PETROBRAS,PN,nan,R$,34.29,34.35,33.64,33.99,33.94,33.93,33.94,12051,13733800,466819613.0,0.0,0,99991231,1,0.0,BRPETRACNPR6,169
2010-02-25,02,PETR4,10,PETROBRAS,PN,nan,R$,33.48,34.5,33.26,33.92,34.38,34.36,34.38,17284,18715500,634926387.0,0.0,0,99991231,1,0.0,BRPETRACNPR6,169
2010-02-26,02,PETR4,10,PETROBRAS,PN,nan,R$,34.59,34.75,34.21,34.5,34.61,34.57,34.61,15843,17960800,619830388.0,0.0,0,99991231,1,0.0,BRPETRACNPR6,169
2010-03-01,02,PETR4,10,PETROBRAS,PN,nan,R$,34.82,35.05,34.42,34.8,34.93,34.93,34.95,17066,17065000,593927452.0,0.0,0,99991231,1,0.0,BRPETRACNPR6,169
2010-03-02,02,PETR4,10,PETROBRAS,PN,nan,R$,35.25,35.52,35.12,35.29,35.12,35.12,35.13,15852,17393900,613862630.0,0.0,0,99991231,1,0.0,BRPETRACNPR6,169
2010-03-03,02,PETR4,10,PETROBRAS,PN,nan,R$,35.28,35.82,35.05,35.49,35.15,35.14,35.15,17019,20065300,712123088.0,0.0,0,99991231,1,0.0,BRPETRACNPR6,169
2010-03-04,02,PETR4,10,PETROBRAS,PN,nan,R$,35.39,35.49,34.81,35.13,35.2,35.17,35.2,13723,14150500,497244240.0,0.0,0,99991231,1,0.0,BRPETRACNPR6,169
2010-03-05,02,PETR4,10,PETROBRAS,PN,nan,R$,35.69,35.92,35.4,35.65,35.81,35.81,35.83,17835,28313100,1009538725.0,0.0,0,99991231,1,0.0,BRPETRACNPR6,169
2010-03-08,02,PETR4,10,PETROBRAS,PN,nan,R$,35.94,35.99,35.41,35.69,35.7,35.7,35.72,11427,16054600,573125918.0,0.0,0,99991231,1,0.0,BRPETRACNPR6,169
2010-03-09,02,PETR4,10,PETROBRAS,PN,nan,R$,35.5,36.85,35.46,36.16,36.5,36.5,36.52,26196,68835300,2489297987.0,0.0,0,99991231,1,0.0,BRPETRACNPR6,169
2010-03-10,02,PETR4,10,PETROBRAS,PN,nan,R$,36.88,37.16,36.65,36.95,37.0,36.99,37.0,23775,32280900,1193042489.0,0.0,0,99991231,1,0.0,BRPETRACNPR6,169
2010-03-11,02,PETR4,10,PETROBRAS,PN,nan,R$,36.93,37.47,36.81,37.12,37.05,37.05,37.06,16274,19656800,729720650.0,0.0,0,99991231,1,0.0,BRPETRACNPR6,169
2010-03-12,02,PETR4,10,PETROBRAS,PN,nan,R$,37.2,37.41,37.06,37.19,37.06,37.06,37.14,13440,14053000,522662824.0,0.0,0,99991231,1,0.0,BRPETRACNPR6,169
2010-03-15,02,PETR4,10,PETROBRAS,PN,nan,R$,36.76,37.23,36.47,36.85,36.77,36.77,36.78,18574,20119700,741449314.0,0.0,0,99991231,1,0.0,BRPETRACNPR6,169
2010-03-16,02,PETR4,10,PETROBRAS,PN,nan,R$,36.93,37.21,36.7,36.98,37.21,37.15,37.21,12009,12978800,480017247.0,0.0,0,99991231,1,0.0,BRPETRACNPR6,169
