dia,cod_bdi,cod_neg,tp_merc,nom_res,especi,prazo_t,moeda,pre_abe,pre_max,pre_min,pre_med,pre_ult,pre_ofc,pre_ofv,tot_neg,qua_tot,vol_tot,pre_exe,ind_opc,dat_ven,fat_cot,pto_exe,cod_isi,dis_mes
2010-01-04,02,SANB11,10,SANTANDER BR,UNT EDJ N2,nan,R$,23.7,24.05,23.69,23.92,23.75,23.75,23.8,1853,1518200,36326095.0,0.0,0,99991231,1,0.0,BRSANBCDAM13,102
2010-01-05,02,SANB11,10,SANTANDER BR,UNT EDJ N2,nan,R$,23.74,23.99,23.44,23.73,23.98,23.87,23.98,1857,1287400,30559647.0,0.0,0,99991231,1,0.0,BRSANBCDAM13,102
2010-01-06,02,SANB11,10,SANTANDER BR,UNT EDJ N2,nan,R$,23.8,23.95,23.56,23.77,23.86,23.81,23.86,1561,786400,18697217.0,0.0,0,99991231,1,0.0,BRSANBCDAM13,102
2010-01-07,02,SANB11,10,SANTANDER BR,UNT EDJ N2,nan,R$,23.69,23.79,23.51,23.63,23.69,23.68,23.69,2400,1119400,26448476.0,0.0,0,99991231,1,0.0,BRSANBCDAM13,102
2010-01-08,02,SANB11,10,SANTANDER BR,UNT EDJ N2,nan,R$,23.56,23.7,22.75,23.51,23.45,23.45,23.49,2000,1198600,28189350.0,0.0,0,99991231,1,0.0,BRSANBCDAM13,102
2010-01-11,02,SANB11,10,SANTANDER BR,UNT EDJ N2,nan,R$,23.45,23.95,23.45,23.68,23.7,23.63,23.7,1902,1624900,38486273.0,0.0,0,99991231,1,0.0,BRSANBCDAM13,102
2010-01-12,02,SANB11,10,SANTANDER BR,UNT     N2,nan,R$,23.5,23.85,23.41,23.68,23.74,23.65,23.74,1376,924400,21896770.0,0.0,0,99991231,1,0.0,BRSANBCDAM13,102
2010-01-13,02,SANB11,10,SANTANDER BR,UNT     N2,nan,R$,23.55,23.94,23.45,23.71,23.9,23.68,23.9,2097,1184800,28095187.0,0.0,0,99991231,1,0.0,BRSANBCDAM13,102
2010-01-14,02,SANB11,10,SANTANDER BR,UNT     N2,nan,R$,23.84,23.85,23.24,23.45,23.25,23.25,23.26,1374,971900,22784059.0,0.0,0,99991231,1,0.0,BRSANBCDAM13,102
2010-01-15,02,SANB11,10,SANTANDER BR,UNT     N2,nan,R$,23.5,23.5,22.87,23.23,22.9,22.9,22.97,1326,877100,20369130.0,0.0,0,99991231,1,0.0,BRSANBCDAM13,102
2010-01-18,02,SANB11,10,SANTANDER BR,UNT     N2,nan,R$,23.1,23.2,22.89,23.07,23.0,22.97,23.02,521,410900,9481377.0,0.0,0,99991231,1,0.0,BRSANBCDAM13,102
2010-01-19,02,SANB11,10,SANTANDER BR,UNT     N2,nan,R$,22.98,23.24,22.81,23.05,23.14,23.07,23.14,831,1045300,24099548.0,0.0,0,99991231,1,0.0,BRSANBCDAM13,102
2010-01-20,02,SANB11,10,SANTANDER BR,UNT     N2,nan,R$,22.85,23.05,22.55,22.7,22.65,22.65,22.68,1067,1183300,26861748.0,0.0,0,99991231,1,0.0,BRSANBCDAM13,102
2010-01-21,02,SANB11,10,SANTANDER BR,UNT     N2,nan,R$,22.8,22.89,21.9,22.13,21.9,21.89,21.9,1510,1600100,35418226.0,0.0,0,99991231,1,0.0,BRSANBCDAM13,102
2010-01-22,02,SANB11,10,SANTANDER BR,UNT     N2,nan,R$,21.91,22.4,21.56,21.73,21.7,21.65,21.7,2162,1751000,38055356.0,0.0,0,99991231,1,0.0,BRSANBCDAM13,102
2010-01-26,02,SANB11,10,SANTANDER BR,UNT     N2,nan,R$,21.88,22.45,21.65,22.02,22.4,22.4,22.41,3207,3475100,76565485.0,0.0,0,99991231,1,0.0,BRSANBCDAM13,102
2010-01-27,02,SANB11,10,SANTANDER BR,UNT     N2,nan,R$,22.05,22.5,21.84,22.17,22.0,21.98,22.0,809,785000,17408302.0,0.0,0,99991231,1,0.0,BRSANBCDAM13,102
2010-01-28,02,SANB11,10,SANTANDER BR,UNT     N2,nan,R$,22.36,22.73,22.18,22.39,22.4,22.28,22.4,1074,2758400,61780404.0,0.0,0,99991231,1,0.0,BRSANBCDAM13,102
2010-01-29,02,SANB11,10,SANTANDER BR,UNT     N2,nan,R$,22.5,22.85,22.37,22.64,22.52,22.49,22.52,1970,2086700,47248607.0,0.0,0,99991231,1,0.0,BRSANBCDAM13,102
2010-02-01,02,SANB11,10,SANTANDER BR,UNT     N2,nan,R$,22.49,22.84,22.0,22.33,22.03,22.02,22.03,2407,2495900,55740928.0,0.0,0,99991231,1,0.0,BRSANBCDAM13,102
2010-02-02,02,SANB11,10,SANTANDER BR,UNT     N2,nan,R$,22.13,22.35,21.9,22.05,22.0,22.0,22.04,2156,4897300,107988155.0,0.0,0,99991231,1,0.0,BRSANBCDAM13,102
2010-02-03,02,SANB11,10,SANTANDER BR,UNT     N2,nan,R$,22.01,22.45,22.01,22.28,22.43,22.43,22.44,1634,1269600,28292612.0,0.0,0,99991231,1,0.0,BRSANBCDAM13,102
2010-02-04,02,SANB11,10,SANTANDER BR,UNT     N2,nan,R$,22.42,22.42,20.92,21.46,21.04,21.03,21.04,4396,6290100,134831947.0,0.0,0,99991231,1,0.0,BRSANBCDAM13,102
2010-02-05,02,SANB11,10,SANTANDER BR,UNT     N2,nan,R$,20.5,20.74,19.6,20.15,20.25,20.21,20.25,3715,3750200,75579332.0,0.0,0,99991231,1,0.0,BRSANBCDAM13,102
2010-02-08,02,SANB11,10,SANTANDER BR,UNT     N2,nan,R$,20.36,21.04,20.26,20.66,20.69,20.66,20.69,1999,1997100,41267945.0,0.0,0,99991231,1,0.0,BRSANBCDAM13,102
2010-02-09,02,SANB11,10,SANTANDER BR,UNT     N2,nan,R$,20.98,21.48,20.88,21.17,21.25,21.2,21.25,2119,2226700,47160505.0,0.0,0,99991231,1,0.0,BRSANBCDAM13,102
2010-02-10,02,SANB11,10,SANTANDER BR,UNT     N2,nan,R$,21.22,21.55,21.09,21.37,21.51,21.51,21.52,680,691200,14777596.0,0.0,0,99991231,1,0.0,BRSANBCDAM13,102
2010-02-11,02,SANB11,10,SANTANDER BR,UNT     N2,nan,R$,21.5,22.27,21.5,21.91,21.96,21.96,22.0,1633,1518300,33275944.0,0.0,0,99991231,1,0.0,BRSANBCDAM13,102
2010-02-12,02,SANB11,10,SANTANDER BR,UNT     N2,nan,R$,21.79,21.98,21.19,21.53,21.91,21.91,21.92,2701,2506800,53993663.0,0.0,0,99991231,1,0.0,BRSANBCDAM13,102
2010-02-17,02,SANB11,10,SANTANDER BR,UNT     N2,nan,R$,22.0,22.49,22.0,22.33,22.3,22.29,22.3,1615,644000,14380699.0,0.0,0,99991231,1,0.0,BRSANBCDAM13,102
2010-02-18,02,SANB11,10,SANTANDER BR,UNT     N2,nan,R$,22.2,22.3,21.96,22.08,22.18,22.09,22.18,1261,1082300,23901508.0,0.0,0,99991231,1,0.0,BRSANBCDAM13,102
2010-02-19,02,SANB11,10,SANTANDER BR,UNT     N2,nan,R$,22.01,22.16,21.91,22.01,22.04,21.98,22.04,684,482700,10627624.0,0.0,0,99991231,1,0.0,BRSANBCDAM13,102
2010-02-22,02,SANB11,10,SANTANDER BR,UNT     N2,nan,R$,21.99,22.09,21.75,21.92,21.95,21.95,21.98,1356,606300,13294428.0,0.0,0,99991231,1,0.0,BRSANBCDAM13,102
2010-02-23,02,SANB11,10,SANTANDER BR,UNT     N2,nan,R$,21.99,21.99,21.35,21.61,21.35,21.35,21.53,1785,1423600,30765531.0,0.0,0,99991231,1,0.0,BRSANBCDAM13,102
2010-02-24,02,SANB11,10,SANTANDER BR,UNT     N2,nan,R$,21.42,21.58,21.1,21.25,21.16,21.16,21.2,1497,1035000,21997620.0,0.0,0,99991231,1,0.0,BRSANBCDAM13,102
2010-02-25,02,SANB11,10,SANTANDER BR,UNT     N2,nan,R$,21.1,21.39,20.51,20.82,21.2,21.15,21.2,2297,1653200,34431959.0,0.0,0,99991231,1,0.0,BRSANBCDAM13,102
2010-02-26,02,SANB11,10,SANTANDER BR,UNT     N2,nan,R$,21.2,21.59,21.2,21.4,21.39,21.31,21.39,3761,3040200,65083541.0,0.0,0,99991231,1,0.0,BRSANBCDAM13,102
