dia,cod_bdi,cod_neg,tp_merc,nom_res,especi,prazo_t,moeda,pre_abe,pre_max,pre_min,pre_med,pre_ult,pre_ofc,pre_ofv,tot_neg,qua_tot,vol_tot,pre_exe,ind_opc,dat_ven,fat_cot,pto_exe,cod_isi,dis_mes
2011-08-03,02,TIMP3,10,TIM PART S/A,ON      NM,nan,R$,9.31,9.6,8.95,9.09,9.0,9.0,9.05,6004,16833800,153134954.0,0.0,0,99991231,1,0.0,BRTIMPACNOR1,100
2011-08-04,02,TIMP3,10,TIM PART S/A,ON      NM,nan,R$,9.03,9.03,8.56,8.73,8.6,8.58,8.6,9142,7794300,68056475.0,0.0,0,99991231,1,0.0,BRTIMPACNOR1,100
2011-08-05,02,TIMP3,10,TIM PART S/A,ON      NM,nan,R$,8.7,8.79,8.25,8.42,8.31,8.31,8.45,6842,5515700,46496201.0,0.0,0,99991231,1,0.0,BRTIMPACNOR1,100
2011-08-08,02,TIMP3,10,TIM PART S/A,ON      NM,nan,R$,8.28,8.28,7.5,7.87,7.6,7.6,7.8,7554,6356200,50069540.0,0.0,0,99991231,1,0.0,BRTIMPACNOR1,100
2011-08-09,02,TIMP3,10,TIM PART S/A,ON      NM,nan,R$,7.51,8.43,7.51,8.01,8.26,8.26,8.27,6156,7584800,60794016.0,0.0,0,99991231,1,0.0,BRTIMPACNOR1,100
2011-08-10,02,TIMP3,10,TIM PART S/A,ON      NM,nan,R$,8.17,8.42,8.08,8.21,8.2,8.11,8.2,6226,4011000,32936592.0,0.0,0,99991231,1,0.0,BRTIMPACNOR1,100
2011-08-11,02,TIMP3,10,TIM PART S/A,ON      NM,nan,R$,8.31,8.43,8.15,8.32,8.38,8.35,8.38,3709,2767900,23044152.0,0.0,0,99991231,1,0.0,BRTIMPACNOR1,100
2011-08-12,02,TIMP3,10,TIM PART S/A,ON      NM,nan,R$,8.34,8.58,8.07,8.35,8.43,8.43,8.53,3916,6155600,51413621.0,0.0,0,99991231,1,0.0,BRTIMPACNOR1,100
2011-08-15,02,TIMP3,10,TIM PART S/A,ON      NM,nan,R$,8.68,8.87,8.4,8.75,8.84,8.81,8.84,3231,1813100,15875418.0,0.0,0,99991231,1,0.0,BRTIMPACNOR1,100
2011-08-16,02,TIMP3,10,TIM PART S/A,ON      NM,nan,R$,8.74,9.1,8.7,8.86,9.0,8.71,9.0,3725,2062900,18286416.0,0.0,0,99991231,1,0.0,BRTIMPACNOR1,100
2011-08-17,02,TIMP3,10,TIM PART S/A,ON      NM,nan,R$,8.95,8.99,8.77,8.84,8.85,8.82,8.85,9312,5129800,45396531.0,0.0,0,99991231,1,0.0,BRTIMPACNOR1,100
2011-08-18,02,TIMP3,10,TIM PART S/A,ON      NM,nan,R$,8.7,8.88,8.52,8.6,8.56,8.56,8.57,7036,4516600,38857468.0,0.0,0,99991231,1,0.0,BRTIMPACNOR1,100
2011-08-19,02,TIMP3,10,TIM PART S/A,ON      NM,nan,R$,8.49,8.81,8.33,8.69,8.65,8.65,8.68,5454,6358100,55291132.0,0.0,0,99991231,1,0.0,BRTIMPACNOR1,100
2011-08-22,02,TIMP3,10,TIM PART S/A,ON      NM,nan,R$,8.76,8.97,8.71,8.86,8.9,8.9,8.94,5755,4504300,39940538.0,0.0,0,99991231,1,0.0,BRTIMPACNOR1,100
2011-08-23,02,TIMP3,10,TIM PART S/A,ON      NM,nan,R$,9.0,9.2,8.73,8.96,9.2,9.16,9.2,7528,4341200,38918282.0,0.0,0,99991231,1,0.0,BRTIMPACNOR1,100
2011-08-24,02,TIMP3,10,TIM PART S/A,ON      NM,nan,R$,9.25,9.46,9.08,9.29,9.21,9.21,9.34,6388,3841600,35715155.0,0.0,0,99991231,1,0.0,BRTIMPACNOR1,100
2011-08-25,02,TIMP3,10,TIM PART S/A,ON      NM,nan,R$,9.21,9.35,9.08,9.19,9.24,9.22,9.24,4727,2763400,25404929.0,0.0,0,99991231,1,0.0,BRTIMPACNOR1,100
2011-08-26,02,TIMP3,10,TIM PART S/A,ON      NM,nan,R$,9.34,9.53,9.01,9.3,9.41,9.41,9.51,3948,2567100,23885137.0,0.0,0,99991231,1,0.0,BRTIMPACNOR1,100
2011-08-29,02,TIMP3,10,TIM PART S/A,ON      NM,nan,R$,9.54,10.0,9.44,9.8,9.8,9.76,9.8,5434,4475700,43906153.0,0.0,0,99991231,1,0.0,BRTIMPACNOR1,100
2011-08-30,02,TIMP3,10,TIM PART S/A,ON      NM,nan,R$,9.7,10.07,9.62,9.8,9.66,9.66,9.67,5546,4988500,48921966.0,0.0,0,99991231,1,0.0,BRTIMPACNOR1,100
2011-08-31,02,TIMP3,10,TIM PART S/A,ON      NM,nan,R$,9.74,9.82,9.52,9.63,9.72,9.67,9.72,6073,4991900,48120961.0,0.0,0,99991231,1,0.0,BRTIMPACNOR1,100
2011-09-01,02,TIMP3,10,TIM PART S/A,ON      NM,nan,R$,9.75,9.89,9.6,9.7,9.7,9.7,9.72,9152,4753800,46130871.0,0.0,0,99991231,1,0.0,BRTIMPACNOR1,100
2011-09-02,02,TIMP3,10,TIM PART S/A,ON      NM,nan,R$,9.69,9.69,9.3,9.44,9.45,9.42,9.45,5736,5039100,47605389.0,0.0,0,99991231,1,0.0,BRTIMPACNOR1,100
2011-09-05,02,TIMP3,10,TIM PART S/A,ON      NM,nan,R$,9.19,9.19,8.82,8.95,8.9,8.9,8.95,5866,4317700,38674638.0,0.0,0,99991231,1,0.0,BRTIMPACNOR1,100
2011-09-06,02,TIMP3,10,TIM PART S/A,ON      NM,nan,R$,8.75,9.24,8.58,8.83,9.05,9.05,9.1,13695,11652700,102931575.0,0.0,0,99991231,1,0.0,BRTIMPACNOR1,100
2011-09-08,02,TIMP3,10,TIM PART S/A,ON      NM,nan,R$,9.36,9.61,9.27,9.39,9.38,9.36,9.38,6634,5189300,48776603.0,0.0,0,99991231,1,0.0,BRTIMPACNOR1,100
2011-09-09,02,TIMP3,10,TIM PART S/A,ON      NM,nan,R$,9.2,9.36,9.04,9.16,9.13,9.13,9.14,5099,3036400,27814601.0,0.0,0,99991231,1,0.0,BRTIMPACNOR1,100
2011-09-12,02,TIMP3,10,TIM PART S/A,ON      NM,nan,R$,9.0,9.12,8.89,9.01,9.07,9.05,9.07,5860,3371400,30410442.0,0.0,0,99991231,1,0.0,BRTIMPACNOR1,100
2011-09-13,02,TIMP3,10,TIM PART S/A,ON      NM,nan,R$,9.09,9.09,8.7,8.85,8.91,8.91,8.92,5875,3723300,32964446.0,0.0,0,99991231,1,0.0,BRTIMPACNOR1,100
2011-09-14,02,TIMP3,10,TIM PART S/A,ON      NM,nan,R$,8.9,9.12,8.78,8.99,9.04,9.04,9.05,6329,11420300,102769591.0,0.0,0,99991231,1,0.0,BRTIMPACNOR1,100
2011-09-15,02,TIMP3,10,TIM PART S/A,ON      NM,nan,R$,9.11,9.56,8.95,9.14,8.95,8.95,8.97,8818,6708100,61351118.0,0.0,0,99991231,1,0.0,BRTIMPACNOR1,100
2011-09-16,02,TIMP3,10,TIM PART S/A,ON      NM,nan,R$,8.85,9.37,8.85,9.12,9.3,9.3,9.31,4499,2977200,27163797.0,0.0,0,99991231,1,0.0,BRTIMPACNOR1,100
2011-09-19,02,TIMP3,10,TIM PART S/A,ON      NM,nan,R$,9.06,9.59,9.04,9.35,9.21,9.21,9.27,8463,5308600,49634876.0,0.0,0,99991231,1,0.0,BRTIMPACNOR1,100
2011-09-20,02,TIMP3,10,TIM PART S/A,ON      NM,nan,R$,9.32,9.74,9.24,9.49,9.32,9.3,9.32,12046,7932800,75300633.0,0.0,0,99991231,1,0.0,BRTIMPACNOR1,100
2011-09-21,02,TIMP3,10,TIM PART S/A,ON      NM,nan,R$,9.38,9.59,9.0,9.28,9.0,9.0,9.01,7973,4703000,43663181.0,0.0,0,99991231,1,0.0,BRTIMPACNOR1,100
2011-09-22,02,TIMP3,10,TIM PART S/A,ON      NM,nan,R$,8.74,9.0,8.43,8.65,8.63,8.63,8.64,7203,4638700,40139994.0,0.0,0,99991231,1,0.0,BRTIMPACNOR1,100
2011-09-23,02,TIMP3,10,TIM PART S/A,ON      NM,nan,R$,8.44,8.71,8.28,8.53,8.58,8.58,8.6,9825,6856100,58485247.0,0.0,0,99991231,1,0.0,BRTIMPACNOR1,100
2011-09-26,02,TIMP3,10,TIM PART S/A,ON      NM,nan,R$,8.7,8.75,8.33,8.48,8.51,8.51,8.52,5088,2864600,24305623.0,0.0,0,99991231,1,0.0,BRTIMPACNOR1,100
2011-09-27,02,TIMP3,10,TIM PART S/A,ON      NM,nan,R$,8.61,8.65,8.34,8.42,8.35,8.35,8.37,5460,6587700,55523683.0,0.0,0,99991231,1,0.0,BRTIMPACNOR1,100
2011-09-28,02,TIMP3,10,TIM PART S/A,ON      NM,nan,R$,8.39,8.6,8.36,8.48,8.5,8.5,8.52,8046,4145500,35171845.0,0.0,0,99991231,1,0.0,BRTIMPACNOR1,100
2011-09-29,02,TIMP3,10,TIM PART S/A,ON      NM,nan,R$,8.55,8.7,8.38,8.48,8.54,8.51,8.54,4299,2828600,24009577.0,0.0,0,99991231,1,0.0,BRTIMPACNOR1,100
2011-09-30,02,TIMP3,10,TIM PART S/A,ON      NM,nan,R$,8.53,8.8,8.2,8.68,8.7,8.69,8.7,6216,6832300,59316530.0,0.0,0,99991231,1,0.0,BRTIMPACNOR1,100
2011-10-03,02,TIMP3,10,TIM PART S/A,ON      NM,nan,R$,8.55,9.24,8.55,8.94,9.0,8.99,9.0,9732,10315700,92300345.0,0.0,0,99991231,1,0.0,BRTIMPACNOR1,100
2011-10-04,02,TIMP3,10,TIM PART S/A,ON      NM,nan,R$,8.9,8.99,8.68,8.85,8.68,8.67,8.68,11503,9358400,82874875.0,0.0,0,99991231,1,0.0,BRTIMPACNOR1,100
2011-10-05,02,TIMP3,10,TIM PART S/A,ON      NM,nan,R$,8.6,8.65,8.52,8.58,8.6,8.6,8.62,5258,8626500,74068989.0,0.0,0,99991231,1,0.0,BRTIMPACNOR1,100
