dia,cod_bdi,cod_neg,tp_merc,nom_res,especi,prazo_t,moeda,pre_abe,pre_max,pre_min,pre_med,pre_ult,pre_ofc,pre_ofv,tot_neg,qua_tot,vol_tot,pre_exe,ind_opc,dat_ven,fat_cot,pto_exe,cod_isi,dis_mes
2010-03-03,02,UGPA3,10,ULTRAPAR,ON      N1,nan,R$,55.83,55.83,55.83,55.83,55.83,0.02,0.0,1,1100,61413.0,0.0,0,99991231,1,0.0,BRUGPAACNOR8,123
2010-03-24,02,UGPA3,10,ULTRAPAR,ON      N1,nan,R$,54.64,54.64,50.08,53.12,50.08,0.0,0.0,4,600,31872.0,0.0,0,99991231,1,0.0,BRUGPAACNOR8,124
2011-08-05,02,UGPA3,10,ULTRAPAR,ON      N1,nan,R$,20.01,20.01,20.01,20.01,20.01,20.2,85.0,1,100,2001.0,0.0,0,99991231,1,0.0,BRUGPAACNOR8,127
2011-08-17,02,UGPA3,10,ULTRAPAR,ON      NM,nan,R$,26.99,27.91,26.56,27.55,27.7,27.67,27.7,3788,827200,22795705.0,0.0,0,99991231,1,0.0,BRUGPAACNOR8,127
2011-08-18,02,UGPA3,10,ULTRAPAR,ON  ED  NM,nan,R$,26.14,26.95,26.12,26.61,26.85,26.6,26.85,2420,1208600,32167511.0,0.0,0,99991231,1,0.0,BRUGPAACNOR8,128
2011-08-19,02,UGPA3,10,ULTRAPAR,ON  ED  NM,nan,R$,26.75,27.34,26.4,27.08,26.85,26.8,26.85,2395,1097800,29737551.0,0.0,0,99991231,1,0.0,BRUGPAACNOR8,128
2011-08-22,02,UGPA3,10,ULTRAPAR,ON  ED  NM,nan,R$,26.65,27.6,26.65,27.32,27.4,27.31,27.4,2954,795000,21725216.0,0.0,0,99991231,1,0.0,BRUGPAACNOR8,128
2011-08-23,02,UGPA3,10,ULTRAPAR,ON  ED  NM,nan,R$,27.9,27.9,27.33,27.53,27.5,27.46,27.5,2733,1715600,47234019.0,0.0,0,99991231,1,0.0,BRUGPAACNOR8,128
2011-08-24,02,UGPA3,10,ULTRAPAR,ON  ED  NM,nan,R$,27.36,27.95,26.7,27.11,27.0,27.0,27.34,3044,2077200,56312860.0,0.0,0,99991231,1,0.0,BRUGPAACNOR8,128
2011-08-25,02,UGPA3,10,ULTRAPAR,ON  ED  NM,nan,R$,26.93,27.26,26.24,26.6,26.58,26.58,26.7,2369,1126200,29966130.0,0.0,0,99991231,1,0.0,BRUGPAACNOR8,128
2011-08-26,02,UGPA3,10,ULTRAPAR,ON  ED  NM,nan,R$,26.5,26.99,26.3,26.72,26.6,26.6,26.86,3059,733500,19601460.0,0.0,0,99991231,1,0.0,BRUGPAACNOR8,128
2011-08-29,02,UGPA3,10,ULTRAPAR,ON  ED  NM,nan,R$,27.05,27.35,26.9,27.09,27.2,27.08,27.2,2199,1537100,41644085.0,0.0,0,99991231,1,0.0,BRUGPAACNOR8,128
2011-08-30,02,UGPA3,10,ULTRAPAR,ON      NM,nan,R$,26.9,27.4,26.66,27.1,27.36,27.35,27.39,2640,974400,26411847.0,0.0,0,99991231,1,0.0,BRUGPAACNOR8,128
2011-08-31,02,UGPA3,10,ULTRAPAR,ON      NM,nan,R$,27.8,27.8,27.08,27.53,27.79,27.61,27.79,3051,1619500,44595529.0,0.0,0,99991231,1,0.0,BRUGPAACNOR8,128
2011-09-01,02,UGPA3,10,ULTRAPAR,ON      NM,nan,R$,28.05,29.23,28.05,28.93,29.0,29.0,29.12,5575,2145400,62077644.0,0.0,0,99991231,1,0.0,BRUGPAACNOR8,128
2011-09-02,02,UGPA3,10,ULTRAPAR,ON      NM,nan,R$,28.5,29.23,28.36,28.69,28.36,28.31,28.36,5426,2219700,63689309.0,0.0,0,99991231,1,0.0,BRUGPAACNOR8,128
2011-09-05,02,UGPA3,10,ULTRAPAR,ON      NM,nan,R$,27.91,28.08,27.36,27.65,27.5,27.5,27.6,2219,564300,15603344.0,0.0,0,99991231,1,0.0,BRUGPAACNOR8,128
2011-09-06,02,UGPA3,10,ULTRAPAR,ON      NM,nan,R$,26.91,28.39,26.9,27.92,28.1,28.0,28.1,3879,1230000,34350341.0,0.0,0,99991231,1,0.0,BRUGPAACNOR8,128
2011-09-08,02,UGPA3,10,ULTRAPAR,ON      NM,nan,R$,28.35,29.15,27.86,28.66,29.15,29.15,29.2,3357,1278200,36645643.0,0.0,0,99991231,1,0.0,BRUGPAACNOR8,128
2011-09-09,02,UGPA3,10,ULTRAPAR,ON      NM,nan,R$,28.81,28.91,27.83,28.54,28.5,28.47,28.5,2830,1063900,30365169.0,0.0,0,99991231,1,0.0,BRUGPAACNOR8,128
2011-09-12,02,UGPA3,10,ULTRAPAR,ON      NM,nan,R$,28.57,28.79,27.91,28.26,28.23,28.23,28.5,2207,537900,15202070.0,0.0,0,99991231,1,0.0,BRUGPAACNOR8,128
2011-09-13,02,UGPA3,10,ULTRAPAR,ON      NM,nan,R$,28.23,28.8,28.14,28.37,28.5,28.5,28.68,1705,341100,9678988.0,0.0,0,99991231,1,0.0,BRUGPAACNOR8,128
2011-09-14,02,UGPA3,10,ULTRAPAR,ON      NM,nan,R$,28.5,29.31,28.26,28.83,28.8,28.51,28.8,3657,699900,20179195.0,0.0,0,99991231,1,0.0,BRUGPAACNOR8,128
2011-09-15,02,UGPA3,10,ULTRAPAR,ON      NM,nan,R$,28.81,29.6,28.81,29.15,29.1,29.02,29.1,1873,478100,13938159.0,0.0,0,99991231,1,0.0,BRUGPAACNOR8,128
2011-09-16,02,UGPA3,10,ULTRAPAR,ON      NM,nan,R$,28.86,29.48,28.77,29.22,29.3,29.15,29.3,2694,761000,22238139.0,0.0,0,99991231,1,0.0,BRUGPAACNOR8,128
2011-09-19,02,UGPA3,10,ULTRAPAR,ON      NM,nan,R$,28.99,29.55,28.83,29.34,29.5,29.39,29.5,3062,718300,21081190.0,0.0,0,99991231,1,0.0,BRUGPAACNOR8,128
2011-09-20,02,UGPA3,10,ULTRAPAR,ON      NM,nan,R$,29.68,30.08,29.2,29.7,29.5,29.44,29.5,2487,706600,20990195.0,0.0,0,99991231,1,0.0,BRUGPAACNOR8,128
2011-09-21,02,UGPA3,10,ULTRAPAR,ON      NM,nan,R$,29.8,30.41,29.39,29.9,29.39,29.39,29.58,3030,590400,17653186.0,0.0,0,99991231,1,0.0,BRUGPAACNOR8,128
2011-09-22,02,UGPA3,10,ULTRAPAR,ON      NM,nan,R$,28.81,29.3,27.63,28.38,28.48,28.35,28.49,4523,1114400,31637668.0,0.0,0,99991231,1,0.0,BRUGPAACNOR8,128
2011-09-23,02,UGPA3,10,ULTRAPAR,ON      NM,nan,R$,28.19,28.66,28.1,28.3,28.35,28.32,28.35,3152,775600,21955968.0,0.0,0,99991231,1,0.0,BRUGPAACNOR8,128
2011-09-26,02,UGPA3,10,ULTRAPAR,ON      NM,nan,R$,28.45,29.33,28.14,28.73,28.9,28.89,28.9,4758,954000,27414473.0,0.0,0,99991231,1,0.0,BRUGPAACNOR8,128
2011-09-27,02,UGPA3,10,ULTRAPAR,ON      NM,nan,R$,29.29,29.78,29.08,29.48,29.6,29.54,29.6,3353,965200,28454685.0,0.0,0,99991231,1,0.0,BRUGPAACNOR8,128
2011-09-28,02,UGPA3,10,ULTRAPAR,ON      NM,nan,R$,29.73,30.14,29.37,29.7,29.5,29.5,29.6,2575,744600,22115905.0,0.0,0,99991231,1,0.0,BRUGPAACNOR8,128
2011-09-29,02,UGPA3,10,ULTRAPAR,ON      NM,nan,R$,29.99,30.15,29.5,29.75,29.67,29.67,29.69,2979,743700,22126817.0,0.0,0,99991231,1,0.0,BRUGPAACNOR8,128
2011-09-30,02,UGPA3,10,ULTRAPAR,ON      NM,nan,R$,29.35,30.2,29.32,29.62,29.5,29.5,29.52,4409,1383400,40988661.0,0.0,0,99991231,1,0.0,BRUGPAACNOR8,128
2011-10-03,02,UGPA3,10,ULTRAPAR,ON      NM,nan,R$,29.17,29.95,29.09,29.59,29.24,29.24,29.25,3962,1150200,34034763.0,0.0,0,99991231,1,0.0,BRUGPAACNOR8,128
2011-10-04,02,UGPA3,10,ULTRAPAR,ON      NM,nan,R$,29.1,30.0,28.46,29.45,29.6,29.6,29.76,5621,1152100,33943361.0,0.0,0,99991231,1,0.0,BRUGPAACNOR8,128
2011-10-05,02,UGPA3,10,ULTRAPAR,ON      NM,nan,R$,29.52,30.29,29.52,29.9,30.08,30.08,30.15,4334,923900,27631816.0,0.0,0,99991231,1,0.0,BRUGPAACNOR8,128
2011-10-06,02,UGPA3,10,ULTRAPAR,ON      NM,nan,R$,30.4,30.61,30.08,30.29,30.23,30.11,30.23,3975,1058800,32069742.0,0.0,0,99991231,1,0.0,BRUGPAACNOR8,128
