dia,cod_bdi,cod_neg,tp_merc,nom_res,especi,prazo_t,moeda,pre_abe,pre_max,pre_min,pre_med,pre_ult,pre_ofc,pre_ofv,tot_neg,qua_tot,vol_tot,pre_exe,ind_opc,dat_ven,fat_cot,pto_exe,cod_isi,dis_mes
2010-01-04,02,USIM5,10,USIMINAS,PNA EJ  N1,nan,R$,49.5,51.38,49.4,50.7,51.0,51.0,51.1,3691,1987800,100797998.0,0.0,0,99991231,1,0.0,BRUSIMACNPA6,147
2010-01-05,02,USIM5,10,USIMINAS,PNA EJ  N1,nan,R$,51.25,51.49,50.56,51.21,51.15,51.15,51.2,5009,2032900,104110250.0,0.0,0,99991231,1,0.0,BRUSIMACNPA6,147
2010-01-06,02,USIM5,10,USIMINAS,PNA EJ  N1,nan,R$,50.97,51.44,50.57,51.02,51.1,51.07,51.1,3935,1951400,99577691.0,0.0,0,99991231,1,0.0,BRUSIMACNPA6,147
2010-01-07,02,USIM5,10,USIMINAS,PNA EJ  N1,nan,R$,50.69,51.58,50.12,50.9,51.58,51.5,51.58,6924,2357500,120024313.0,0.0,0,99991231,1,0.0,BRUSIMACNPA6,147
2010-01-08,02,USIM5,10,USIMINAS,PNA EJ  N1,nan,R$,51.58,51.6,50.7,50.97,50.85,50.81,50.85,4309,1865100,95087289.0,0.0,0,99991231,1,0.0,BRUSIMACNPA6,147
2010-01-11,02,USIM5,10,USIMINAS,PNA EJ  N1,nan,R$,51.37,51.8,50.67,51.08,50.99,50.9,50.99,3236,1422000,72647396.0,0.0,0,99991231,1,0.0,BRUSIMACNPA6,147
2010-01-12,02,USIM5,10,USIMINAS,PNA EJ  N1,nan,R$,50.15,50.39,49.3,49.74,49.6,49.59,49.6,5844,2355700,117168372.0,0.0,0,99991231,1,0.0,BRUSIMACNPA6,147
2010-01-13,02,USIM5,10,USIMINAS,PNA     N1,nan,R$,50.29,50.6,48.85,49.67,49.7,49.7,49.8,5143,2944900,146279468.0,0.0,0,99991231,1,0.0,BRUSIMACNPA6,147
2010-01-14,02,USIM5,10,USIMINAS,PNA     N1,nan,R$,49.56,50.08,49.3,49.8,49.98,49.92,49.98,3538,1552300,77308955.0,0.0,0,99991231,1,0.0,BRUSIMACNPA6,147
2010-01-15,02,USIM5,10,USIMINAS,PNA     N1,nan,R$,49.0,50.54,49.0,50.08,50.3,50.0,50.3,3282,1667900,83538552.0,0.0,0,99991231,1,0.0,BRUSIMACNPA6,147
