dia,cod_bdi,cod_neg,tp_merc,nom_res,especi,prazo_t,moeda,pre_abe,pre_max,pre_min,pre_med,pre_ult,pre_ofc,pre_ofv,tot_neg,qua_tot,vol_tot,pre_exe,ind_opc,dat_ven,fat_cot,pto_exe,cod_isi,dis_mes
2010-01-04,02,VALE3,10,VALE,ON      N1,nan,R$,50.19,51.49,49.8,50.85,51.49,51.31,51.49,3237,2464600,125368350.0,0.0,0,99991231,1,0.0,BRVALEACNOR0,177
2010-01-05,02,VALE3,10,VALE,ON      N1,nan,R$,51.54,52.54,51.24,51.89,51.97,51.91,51.97,4980,3051500,158381785.0,0.0,0,99991231,1,0.0,BRVALEACNOR0,177
2010-01-06,02,VALE3,10,VALE,ON      N1,nan,R$,52.0,53.37,51.78,52.9,53.07,53.07,53.2,5613,2759900,146002289.0,0.0,0,99991231,1,0.0,BRVALEACNOR0,177
2010-01-07,02,VALE3,10,VALE,ON      N1,nan,R$,52.51,53.54,52.5,53.08,53.29,53.25,53.29,5257,2564400,136135022.0,0.0,0,99991231,1,0.0,BRVALEACNOR0,177
2010-01-08,02,VALE3,10,VALE,ON      N1,nan,R$,53.3,54.24,53.0,53.84,53.81,53.81,53.99,4726,2461600,132547840.0,0.0,0,99991231,1,0.0,BRVALEACNOR0,177
2010-01-11,02,VALE3,10,VALE,ON      N1,nan,R$,54.6,54.6,53.34,53.79,53.65,53.65,53.7,5371,2857300,153691357.0,0.0,0,99991231,1,0.0,BRVALEACNOR0,177
2010-01-12,02,VALE3,10,VALE,ON      N1,nan,R$,52.8,53.5,52.3,52.85,53.5,53.2,53.5,3832,2645200,139840851.0,0.0,0,99991231,1,0.0,BRVALEACNOR0,177
2010-01-13,02,VALE3,10,VALE,ON      N1,nan,R$,54.2,54.38,53.42,53.91,54.16,54.16,54.26,5460,2651700,142983458.0,0.0,0,99991231,1,0.0,BRVALEACNOR0,177
2010-01-14,02,VALE3,10,VALE,ON      N1,nan,R$,54.18,54.8,53.7,54.24,54.15,53.78,54.15,2853,1611100,87382970.0,0.0,0,99991231,1,0.0,BRVALEACNOR0,177
2010-01-15,02,VALE3,10,VALE,ON      N1,nan,R$,53.78,53.99,52.85,53.34,53.45,53.25,53.45,3919,2227700,118847227.0,0.0,0,99991231,1,0.0,BRVALEACNOR0,177
2010-01-18,02,VALE3,10,VALE,ON      N1,nan,R$,53.3,54.35,53.3,53.91,54.2,53.89,54.2,2353,1109800,59833971.0,0.0,0,99991231,1,0.0,BRVALEACNOR0,177
2010-01-19,02,VALE3,10,VALE,ON      N1,nan,R$,53.51,55.0,53.51,54.61,54.95,54.7,54.95,2535,1897600,103640831.0,0.0,0,99991231,1,0.0,BRVALEACNOR0,177
2010-01-20,02,VALE3,10,VALE,ON      N1,nan,R$,53.91,54.41,53.0,53.49,53.45,53.25,53.45,6519,3139300,167940904.0,0.0,0,99991231,1,0.0,BRVALEACNOR0,177
2010-01-21,02,VALE3,10,VALE,ON      N1,nan,R$,53.6,53.6,51.29,52.26,51.6,51.5,51.6,4736,3633600,189858192.0,0.0,0,99991231,1,0.0,BRVALEACNOR0,177
2010-01-22,02,VALE3,10,VALE,ON      N1,nan,R$,51.31,51.55,50.19,50.82,50.51,50.4,50.51,4069,3527900,179256177.0,0.0,0,99991231,1,0.0,BRVALEACNOR0,177
2010-01-26,02,VALE3,10,VALE,ON      N1,nan,R$,49.75,50.27,49.1,49.68,49.49,49.1,49.49,5874,4392500,218237241.0,0.0,0,99991231,1,0.0,BRVALEACNOR0,177
2010-01-27,02,VALE3,10,VALE,ON      N1,nan,R$,49.64,49.64,48.15,48.7,48.81,48.81,48.89,6314,3325800,161987943.0,0.0,0,99991231,1,0.0,BRVALEACNOR0,177
2010-01-28,02,VALE3,10,VALE,ON      N1,nan,R$,49.31,49.88,48.02,48.84,48.78,48.7,48.78,4152,2421100,118244654.0,0.0,0,99991231,1,0.0,BRVALEACNOR0,177
2010-01-29,02,VALE3,10,VALE,ON      N1,nan,R$,49.13,49.95,48.51,49.29,48.91,48.45,48.91,5265,3404300,167816525.0,0.0,0,99991231,1,0.0,BRVALEACNOR0,177
2010-02-01,02,VALE3,10,VALE,ON      N1,nan,R$,49.39,50.55,48.9,49.9,50.39,50.16,50.39,3819,2694700,134491197.0,0.0,0,99991231,1,0.0,BRVALEACNOR0,177
2010-02-02,02,VALE3,10,VALE,ON      N1,nan,R$,51.17,51.19,50.1,50.47,50.39,50.37,50.39,3742,2534400,127918613.0,0.0,0,99991231,1,0.0,BRVALEACNOR0,177
2010-02-03,02,VALE3,10,VALE,ON      N1,nan,R$,50.46,50.61,49.96,50.22,50.28,49.95,50.28,3696,2893000,145301088.0,0.0,0,99991231,1,0.0,BRVALEACNOR0,177
2010-02-04,02,VALE3,10,VALE,ON      N1,nan,R$,49.62,49.8,47.34,48.33,47.56,47.56,47.66,6524,4266600,206015576.0,0.0,0,99991231,1,0.0,BRVALEACNOR0,177
2010-02-05,02,VALE3,10,VALE,ON      N1,nan,R$,47.09,47.4,45.7,46.44,47.16,46.93,47.16,5157,3850000,178914761.0,0.0,0,99991231,1,0.0,BRVALEACNOR0,177
2010-02-08,02,VALE3,10,VALE,ON      N1,nan,R$,47.57,48.7,47.2,47.88,47.5,47.5,47.85,5501,4466700,213871436.0,0.0,0,99991231,1,0.0,BRVALEACNOR0,177
2010-02-09,02,VALE3,10,VALE,ON      N1,nan,R$,48.2,49.2,48.0,48.63,48.5,48.5,48.64,4983,4223700,205416926.0,0.0,0,99991231,1,0.0,BRVALEACNOR0,177
2010-02-10,02,VALE3,10,VALE,ON      N1,nan,R$,48.75,48.9,47.65,48.3,48.55,48.55,48.65,3532,2721800,131495917.0,0.0,0,99991231,1,0.0,BRVALEACNOR0,177
2010-02-11,02,VALE3,10,VALE,ON      N1,nan,R$,48.05,49.74,46.65,48.22,49.69,49.57,49.69,12437,8241000,397465424.0,0.0,0,99991231,1,0.0,BRVALEACNOR0,177
2010-02-12,02,VALE3,10,VALE,ON      N1,nan,R$,49.15,49.85,48.7,49.18,49.35,49.32,49.5,4707,3518400,173081553.0,0.0,0,99991231,1,0.0,BRVALEACNOR0,177
2010-02-17,02,VALE3,10,VALE,ON      N1,nan,R$,51.47,51.6,50.65,51.17,51.3,51.3,51.35,4946,2952300,151096762.0,0.0,0,99991231,1,0.0,BRVALEACNOR0,177
